,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,CIN,CLE,35.0,3600.0,1.0,,0,CLE 35,0.0,68.0,25-A.Szmyt kicks 51 yards from CLE 35 to CIN 14. 15-C.Jones to CIN 32 for 18 yards (43-M.Diabate).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,51.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,A.Szmyt,0.0,CIN,18.0,,,,First down,1.0
1,CIN,CIN,68.0,3595.0,1.0,1.0,0,CIN 32,10.0,68.0,(14:55) 9-J.Burrow pass short right to 86-N.Fant to CIN 44 for 12 yards (33-R.Hickman).,pass,12.0,0.0,0.0,1.0,0.0,0.0,0.0,short,right,1.0,11.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.Burrow,12.0,N.Fant,12.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
2,CIN,CIN,56.0,3560.0,1.0,1.0,0,CIN 44,10.0,68.0,(14:20) (Shotgun) 30-C.Brown up the middle to CIN 43 for -1 yards (30-D.Bush).,run,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,C.Brown,-1.0,,,,,,,0.0,,0.0,,,,First down,0.0
3,CIN,CIN,57.0,3518.0,1.0,2.0,0,CIN 43,11.0,68.0,"(13:38) (Shotgun) 30-C.Brown right guard to CIN 43 for no gain (96-M.Collins; 57-I.McGuire). PENALTY on CLE-95-M.Garrett, Defensive Offside, 5 yards, enforced at CIN 43 - No Play.",no_play,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,CLE,5.0,Defensive Offside,First down,0.0
4,CIN,CIN,52.0,3489.0,1.0,2.0,0,CIN 48,6.0,68.0,(13:09) (Shotgun) 30-C.Brown up the middle to CLE 47 for 5 yards (49-C.Schwesinger; 9-G.Delpit).,run,5.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,C.Brown,5.0,,,,,,,0.0,,0.0,,,,First down,0.0
5,CIN,CLE,47.0,3449.0,1.0,3.0,0,CLE 47,1.0,68.0,(12:29) (Shotgun) 30-C.Brown right guard to CLE 46 for 1 yard (57-I.McGuire; 94-M.Graham).,run,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,right,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,C.Brown,1.0,,,,,,,0.0,,0.0,,,,First down,0.0
6,CIN,CLE,46.0,3412.0,1.0,1.0,0,CLE 46,10.0,68.0,(11:52) (Shotgun) 9-J.Burrow pass incomplete short left to 86-N.Fant.,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,-4.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Burrow,,N.Fant,,,,,,,,,,0.0,,0.0,,,,First down,0.0
7,CIN,CLE,46.0,3407.0,1.0,2.0,0,CLE 46,10.0,68.0,"(11:47) (Shotgun) 30-C.Brown up the middle to CLE 40 for 6 yards (26-M.Harden, 98-A.Huntington).",run,6.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,C.Brown,6.0,,,,,,,1.0,,0.0,,,,First down,0.0
8,CIN,CLE,40.0,3367.0,1.0,3.0,0,CLE 40,4.0,68.0,(11:07) (Shotgun) 9-J.Burrow pass short middle to 5-T.Higgins to CLE 27 for 13 yards (26-M.Harden).,pass,13.0,1.0,0.0,1.0,0.0,0.0,0.0,short,middle,11.0,2.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.Burrow,13.0,T.Higgins,13.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
9,CIN,CLE,27.0,3329.0,1.0,1.0,0,CLE 27,10.0,68.0,"(10:29) 30-C.Brown right guard to CLE 17 for 10 yards (33-R.Hickman). PENALTY on CIN-71-A.Mims, Illegal Formation, 4 yards, enforced at CLE 27 - No Play.",no_play,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,CIN,4.0,Illegal Formation,First down,0.0
