,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,NYJ,PIT,35.0,3600.0,1.0,,0,PIT 35,0.0,48.0,9-C.Boswell kicks 63 yards from PIT 35 to NYJ 2. 34-K.Nwangwu to NYJ 35 for 33 yards (50-M.Harrison).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,63.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,C.Boswell,0.0,NYJ,33.0,,,,First down,1.0
1,NYJ,NYJ,65.0,3595.0,1.0,1.0,0,NYJ 35,10.0,48.0,(14:55) 20-B.Hall left guard to PIT 47 for 18 yards (5-J.Ramsey).,run,18.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,B.Hall,18.0,,,,,,,0.0,,0.0,,,,First down,0.0
2,NYJ,PIT,47.0,3555.0,1.0,1.0,0,PIT 47,10.0,48.0,(14:15) (Shotgun) 20-B.Hall left tackle to PIT 40 for 7 yards (22-J.Thornhill).,run,7.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,left,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,B.Hall,7.0,,,,,,,0.0,,0.0,,,,First down,0.0
3,NYJ,PIT,40.0,3519.0,1.0,2.0,0,PIT 40,3.0,48.0,(13:39) 0-B.Allen left guard to PIT 38 for 2 yards (56-A.Highsmith).,run,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,B.Allen,2.0,,,,,,,0.0,,0.0,,,,First down,0.0
4,NYJ,PIT,38.0,3483.0,1.0,3.0,0,PIT 38,1.0,48.0,(13:03) 7-J.Fields up the middle to PIT 33 for 5 yards (6-P.Queen).,run,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Fields,5.0,,,,,,,0.0,,0.0,,,,First down,0.0
5,NYJ,PIT,33.0,3443.0,1.0,1.0,0,PIT 33,10.0,48.0,(12:23) (Shotgun) 7-J.Fields pass short left to 5-G.Wilson to PIT 25 for 8 yards (25-D.Elliott).,pass,8.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,8.0,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.Fields,8.0,G.Wilson,8.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
6,NYJ,PIT,25.0,3410.0,1.0,2.0,0,PIT 25,2.0,48.0,(11:50) (Shotgun) 20-B.Hall right guard to PIT 19 for 6 yards (41-P.Wilson; 6-P.Queen).,run,6.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,right,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,B.Hall,6.0,,,,,,,0.0,,0.0,,,,First down,0.0
7,NYJ,PIT,19.0,3368.0,1.0,1.0,0,PIT 19,10.0,48.0,(11:08) 0-B.Allen right guard to PIT 18 for 1 yard (56-A.Highsmith; 90-T.Watt).,run,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,B.Allen,1.0,,,,,,,0.0,,0.0,,,,Field goal,0.0
8,NYJ,PIT,18.0,3335.0,1.0,2.0,0,PIT 18,9.0,48.0,(10:35) (Shotgun) 0-B.Allen left end to PIT 20 for -2 yards (90-T.Watt).,run,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,B.Allen,-2.0,,,,,,,0.0,,0.0,,,,Field goal,0.0
9,NYJ,PIT,20.0,3297.0,1.0,3.0,0,PIT 20,11.0,48.0,(9:57) (Shotgun) 32-I.Davis up the middle to PIT 17 for 3 yards (6-P.Queen).,run,3.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,I.Davis,3.0,,,,,,,0.0,,0.0,,,,Field goal,0.0
10,NYJ,PIT,17.0,3259.0,1.0,4.0,0,PIT 17,8.0,48.0,"(9:19) 6-N.Folk 35 yard field goal is GOOD, Center-42-T.Hennessy, Holder-14-A.McNamara.",field_goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,made,35.0,,,0.0,,,,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,N.Folk,0.0,,0.0,,,,Field goal,0.0
11,PIT,NYJ,35.0,3255.0,2.0,,0,NYJ 35,0.0,71.0,6-N.Folk kicks 65 yards from NYJ 35 to PIT 0. 20-K.Johnson to PIT 29 for 29 yards (43-C.Jones; 41-M.McCrary-Ball).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,65.0,,,0.0,,,,3.0,0.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,N.Folk,0.0,PIT,29.0,,,,First down,1.0
12,PIT,PIT,71.0,3249.0,2.0,1.0,0,PIT 29,10.0,71.0,(9:09) 8-A.Rodgers sacked at PIT 25 for -4 yards (95-Q.Williams).,pass,-4.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,3.0,0.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A.Rodgers,,,,,,,,,,,,0.0,,0.0,,,,First down,0.0
13,PIT,PIT,75.0,3206.0,2.0,2.0,0,PIT 25,14.0,71.0,(8:26) (Shotgun) 14-K.Gainwell right guard to PIT 29 for 4 yards (97-H.Phillips).,run,4.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,right,guard,,,,,0.0,,,,3.0,0.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,K.Gainwell,4.0,,,,,,,0.0,,0.0,,,,First down,0.0
