,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,CLE,BAL,35.0,3600.0,1.0,,0,BAL 35,0.0,20.0,33-T.Loop kicks 56 yards from BAL 35 to CLE 9. 2-D.Carter to CLE 22 for 13 yards (26-R.Ali).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,56.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,T.Loop,0.0,CLE,13.0,,,,First down,1.0
1,CLE,CLE,78.0,3596.0,1.0,1.0,0,CLE 22,10.0,20.0,(14:56) (Shotgun) 15-J.Flacco pass short left to 85-D.Njoku to CLE 28 for 6 yards (3-C.Awuzie) [53-K.Van Noy].,pass,6.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,4.0,2.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.Flacco,6.0,D.Njoku,6.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
2,CLE,CLE,72.0,3563.0,1.0,2.0,0,CLE 28,4.0,20.0,(14:23) (Shotgun) 15-J.Flacco pass short middle to 44-H.Fannin to CLE 40 for 12 yards (24-M.Starks; 14-K.Hamilton).,pass,12.0,1.0,0.0,1.0,0.0,0.0,0.0,short,middle,6.0,6.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,J.Flacco,12.0,H.Fannin,12.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
3,CLE,CLE,60.0,3529.0,1.0,1.0,0,CLE 40,10.0,20.0,(13:49) 10-Q.Judkins right guard to CLE 38 for -2 yards (0-R.Smith).,run,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Q.Judkins,-2.0,,,,,,,0.0,,0.0,,,,Punt,0.0
4,CLE,CLE,62.0,3490.0,1.0,2.0,0,CLE 38,12.0,20.0,(13:10) 15-J.Flacco pass short right to 22-D.Sampson to CLE 35 for -3 yards (14-K.Hamilton).,pass,-3.0,0.0,0.0,1.0,0.0,0.0,0.0,short,right,-4.0,1.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.Flacco,-3.0,D.Sampson,-3.0,,,,,,,,,0.0,,0.0,,,,Punt,0.0
5,CLE,CLE,65.0,3450.0,1.0,3.0,0,CLE 35,15.0,20.0,"(12:30) (Shotgun) PENALTY on CLE-79-D.Jones, False Start, 5 yards, enforced at CLE 35 - No Play.",no_play,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,CLE,5.0,False Start,Punt,0.0
6,CLE,CLE,70.0,3434.0,1.0,3.0,0,CLE 30,20.0,20.0,(12:14) (Shotgun) 15-J.Flacco pass short left to 34-J.Ford to CLE 42 for 12 yards (53-K.Van Noy).,pass,12.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,-6.0,18.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.Flacco,12.0,J.Ford,12.0,,,,,,,,,0.0,,0.0,,,,Punt,0.0
7,CLE,CLE,58.0,3396.0,1.0,4.0,0,CLE 42,8.0,20.0,"(11:36) 13-C.Bojorquez punts 47 yards to BAL 11, Center-50-R.Sunahara, fair catch by 83-L.Wester.",punt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,47.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,C.Bojorquez,,0.0,BAL,0.0,,,,Punt,1.0
8,BAL,BAL,89.0,3388.0,2.0,1.0,0,BAL 11,10.0,16.0,(11:28) (Shotgun) 22-D.Henry up the middle to BAL 12 for 1 yard (30-D.Bush; 95-M.Garrett).,run,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,D.Henry,1.0,,,,,,,0.0,,0.0,,,,First down,0.0
9,BAL,BAL,88.0,3348.0,2.0,2.0,0,BAL 12,9.0,16.0,(10:48) (Shotgun) 43-J.Hill right guard to BAL 14 for 2 yards (30-D.Bush; 94-M.Graham).,run,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,right,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,J.Hill,2.0,,,,,,,0.0,,0.0,,,,First down,0.0
10,BAL,BAL,86.0,3303.0,2.0,3.0,0,BAL 14,7.0,16.0,(10:03) (Shotgun) 8-L.Jackson pass short left to 16-T.Wallace to BAL 24 for 10 yards (9-G.Delpit).,pass,10.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,3.0,7.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,L.Jackson,10.0,T.Wallace,10.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
11,BAL,BAL,76.0,3262.0,2.0,1.0,0,BAL 24,10.0,16.0,(9:22) (Shotgun) 8-L.Jackson pass short right to 4-Z.Flowers to BAL 31 for 7 yards (49-C.Schwesinger).,pass,7.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,-4.0,11.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,L.Jackson,7.0,Z.Flowers,7.0,,,,,,,,,0.0,,0.0,,,,Punt,0.0
12,BAL,BAL,69.0,3220.0,2.0,2.0,0,BAL 31,3.0,16.0,(8:40) (Shotgun) 22-D.Henry right tackle to BAL 27 for -4 yards (94-M.Graham).,run,-4.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,right,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,D.Henry,-4.0,,,,,,,0.0,,0.0,,,,Punt,0.0
13,BAL,BAL,73.0,3176.0,2.0,3.0,0,BAL 27,7.0,16.0,(7:56) (Shotgun) 8-L.Jackson pass incomplete deep left to 4-Z.Flowers.,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,deep,left,26.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L.Jackson,,Z.Flowers,,,,,,,,,,0.0,,0.0,,,,Punt,0.0
14,BAL,BAL,73.0,3171.0,2.0,4.0,0,BAL 27,7.0,16.0,"(7:51) 11-J.Stout punts 58 yards to CLE 15, Center-46-N.Moore, out of bounds.",punt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,58.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,J.Stout,,0.0,CLE,0.0,,,,Punt,1.0
15,CLE,CLE,85.0,3163.0,3.0,1.0,0,CLE 15,10.0,4.0,(7:43) 10-Q.Judkins right tackle to CLE 19 for 4 yards (40-T.Buchanan; 45-M.Green).,run,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,Q.Judkins,4.0,,,,,,,0.0,,0.0,,,,Punt,0.0
