,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,LV,LAC,35.0,3600.0,1.0,,0,LAC 35,0.0,0.0,11-C.Dicker kicks 66 yards from LAC 35 to LV -1. 3-Z.White to LV 24 for 25 yards (58-M.Wax).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,66.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,C.Dicker,0.0,LV,25.0,,,,Turnover,1.0
1,LV,LV,76.0,3593.0,1.0,1.0,0,LV 24,10.0,0.0,(14:53) (Shotgun) 7-G.Smith pass short right intended for 1-T.Tucker INTERCEPTED by 0-D.Henley (32-A.Gilman) at LV 33. 0-D.Henley to LV 25 for 8 yards (87-M.Mayer).,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,9.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G.Smith,,T.Tucker,,,,,,,,,,0.0,LAC,8.0,,,,Turnover,0.0
2,LAC,LV,25.0,3585.0,2.0,1.0,0,LV 25,10.0,5.0,(14:45) 10-J.Herbert pass incomplete short left to 8-O.Hampton (57-G.Pratt).,pass,0.0,0.0,0.0,1.0,0.0,0.0,0.0,short,left,4.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Herbert,,O.Hampton,,,,,,,,,,0.0,,0.0,,,,Field goal,0.0
3,LAC,LV,25.0,3578.0,2.0,2.0,0,LV 25,10.0,5.0,(14:38) (Shotgun) 10-J.Herbert pass short right to 15-L.McConkey to LV 20 for 5 yards (45-D.White).,pass,5.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,5.0,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.Herbert,5.0,L.McConkey,5.0,,,,,,,,,0.0,,0.0,,,,Field goal,0.0
4,LAC,LV,20.0,3533.0,2.0,3.0,0,LV 20,5.0,5.0,(13:53) (Shotgun) 10-J.Herbert pass incomplete short right to 9-T.Harris (11-J.Chinn).,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,7.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Herbert,,T.Harris,,,,,,,,,,0.0,,0.0,,,,Field goal,0.0
5,LAC,LV,20.0,3527.0,2.0,4.0,0,LV 20,5.0,5.0,"(13:47) 11-C.Dicker 38 yard field goal is GOOD, Center-41-R.Lovato, Holder-16-J.Scott.",field_goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,made,38.0,,,0.0,,,,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,C.Dicker,0.0,,0.0,,,,Field goal,0.0
6,LV,LAC,35.0,3523.0,3.0,,0,LAC 35,0.0,42.0,11-C.Dicker kicks 65 yards from LAC 35 to LV 0. 3-Z.White to LV 22 for 22 yards (50-C.Murphy; 58-M.Wax).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,65.0,,,0.0,,,,0.0,3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,C.Dicker,0.0,LV,22.0,,,,First down,1.0
7,LV,LV,78.0,3518.0,3.0,1.0,0,LV 22,10.0,42.0,(13:38) 2-A.Jeanty left tackle to LV 35 for 13 yards (3-D.James).,run,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,tackle,,,,,0.0,,,,0.0,3.0,-3.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,A.Jeanty,13.0,,,,,,,0.0,,0.0,,,,First down,0.0
8,LV,LV,65.0,3478.0,3.0,1.0,0,LV 35,10.0,42.0,(12:58) (Shotgun) 7-G.Smith pass short left to 1-T.Tucker to LV 40 for 5 yards (29-T.Still).,pass,5.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,5.0,0.0,,,,,,,0.0,,,,0.0,3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,G.Smith,5.0,T.Tucker,5.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
9,LV,LV,60.0,3443.0,3.0,2.0,0,LV 40,5.0,42.0,(12:23) (Shotgun) 7-G.Smith up the middle to LV 40 for no gain (45-T.Tuipulotu).,run,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,G.Smith,0.0,,,,,,,0.0,,0.0,,,,First down,0.0
10,LV,LV,60.0,3406.0,3.0,3.0,0,LV 40,5.0,42.0,(11:46) (Shotgun) 7-G.Smith pass short middle to 10-D.Thornton to LAC 40 for 20 yards (32-A.Gilman).,pass,20.0,1.0,0.0,1.0,0.0,0.0,0.0,short,middle,4.0,16.0,,,,,,,0.0,,,,0.0,3.0,-3.0,-3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,G.Smith,20.0,D.Thornton,20.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
11,LV,LAC,40.0,3372.0,3.0,1.0,0,LAC 40,10.0,42.0,(11:12) 3-Z.White right guard to LAC 37 for 3 yards (23-T.Jefferson; 43-T.Dye).,run,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,guard,,,,,0.0,,,,0.0,3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,Z.White,3.0,,,,,,,0.0,,0.0,,,,First down,0.0
12,LV,LAC,37.0,3346.0,3.0,2.0,0,LAC 37,7.0,42.0,"(10:46) (No Huddle, Shotgun) 7-G.Smith pass incomplete short right to 3-Z.White.",pass,0.0,1.0,1.0,1.0,0.0,0.0,0.0,short,right,-4.0,,,,,,,,0.0,,,,0.0,3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G.Smith,,Z.White,,,,,,,,,,0.0,,0.0,,,,First down,0.0
13,LV,LAC,37.0,3341.0,3.0,3.0,0,LAC 37,7.0,42.0,"(10:41) (Shotgun) 7-G.Smith pass incomplete short left to 16-J.Meyers. PENALTY on LAC-20-C.Hart, Defensive Pass Interference, 8 yards, enforced at LAC 37 - No Play.",no_play,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,3.0,-3.0,-3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,LAC,8.0,Defensive Pass Interference,First down,0.0
14,LV,LAC,29.0,3336.0,3.0,1.0,0,LAC 29,10.0,42.0,(10:36) (Shotgun) 7-G.Smith pass short middle to 1-T.Tucker to LAC 26 for 3 yards (45-T.Tuipulotu).,pass,3.0,1.0,0.0,1.0,0.0,0.0,0.0,short,middle,-5.0,8.0,,,,,,,0.0,,,,0.0,3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,G.Smith,3.0,T.Tucker,3.0,,,,,,,,,0.0,,0.0,,,,Field goal,0.0
15,LV,LAC,26.0,3299.0,3.0,2.0,0,LAC 26,7.0,42.0,(9:59) (Shotgun) 7-G.Smith pass incomplete deep middle to 1-T.Tucker (23-T.Jefferson).,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,deep,middle,26.0,,,,,,,,0.0,,,,0.0,3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G.Smith,,T.Tucker,,,,,,,,,,0.0,,0.0,,,,Field goal,0.0
16,LV,LAC,26.0,3293.0,3.0,3.0,0,LAC 26,7.0,42.0,(9:53) (Shotgun) 7-G.Smith sacked at LAC 36 for -10 yards (52-K.Mack).,pass,-10.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G.Smith,,,,,,,,,,,,0.0,,0.0,,,,Field goal,0.0
17,LV,LAC,36.0,3247.0,3.0,4.0,0,LAC 36,17.0,42.0,"(9:07) 8-D.Carlson 54 yard field goal is GOOD, Center-50-J.Bobenmoyer, Holder-6-A.Cole.",field_goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,made,54.0,,,0.0,,,,3.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,D.Carlson,0.0,,0.0,,,,Field goal,0.0
18,LAC,LV,35.0,3242.0,4.0,,0,LV 35,0.0,0.0,8-D.Carlson kicks 59 yards from LV 35 to LAC 6. 12-D.Davis to LAC 35 for 29 yards (25-D.Richardson).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,59.0,,,0.0,,,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,D.Carlson,0.0,LAC,29.0,,,,Punt,1.0
19,LAC,LAC,65.0,3237.0,4.0,1.0,0,LAC 35,10.0,0.0,(8:57) (Shotgun) 10-J.Herbert pass incomplete deep left to 1-Q.Johnston (36-K.Kelly).,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,deep,left,30.0,,,,,,,,0.0,,,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Herbert,,Q.Johnston,,,,,,,,,,0.0,,0.0,,,,Punt,0.0
