,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,CHI,DAL,35.0,3600.0,1.0,,0,DAL 35,0.0,-2.0,17-B.Aubrey kicks 61 yards from DAL 35 to CHI 4. 10-L.Burden to CHI 19 for 15 yards (53-J.Houston).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,61.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,B.Aubrey,0.0,CHI,15.0,,,,Punt,1.0
1,CHI,CHI,81.0,3594.0,1.0,1.0,0,CHI 19,10.0,-2.0,(14:54) 18-C.Williams pass incomplete deep left to 84-C.Loveland.,pass,0.0,0.0,0.0,1.0,0.0,0.0,0.0,deep,left,26.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C.Williams,,C.Loveland,,,,,,,,,,0.0,,0.0,,,,Punt,0.0
2,CHI,CHI,81.0,3588.0,1.0,2.0,0,CHI 19,10.0,-2.0,(14:48) 4-D.Swift right guard to CHI 15 for -4 yards (27-R.Steward).,run,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,D.Swift,-4.0,,,,,,,0.0,,0.0,,,,Punt,0.0
3,CHI,CHI,85.0,3548.0,1.0,3.0,0,CHI 15,14.0,-2.0,(14:08) (Shotgun) 18-C.Williams pass short right to 4-D.Swift to CHI 17 for 2 yards (59-K.Murray; 6-D.Wilson).,pass,2.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,-7.0,9.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,C.Williams,2.0,D.Swift,2.0,,,,,,,,,0.0,,0.0,,,,Punt,0.0
4,CHI,CHI,83.0,3506.0,1.0,4.0,0,CHI 17,12.0,-2.0,"(13:26) 19-T.Taylor punts 49 yards to DAL 34, Center-46-S.Daly. 9-K.Turpin to DAL 43 for 9 yards (23-R.Johnson).",punt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,49.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,T.Taylor,,0.0,DAL,9.0,,,,Punt,1.0
5,DAL,DAL,57.0,3493.0,2.0,1.0,0,DAL 43,10.0,29.0,(13:13) (Shotgun) 33-J.Williams left tackle to 50 for 7 yards (44-N.Sewell; 9-J.Brisker).,run,7.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,left,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,J.Williams,7.0,,,,,,,0.0,,0.0,,,,Turnover,0.0
6,DAL,50,50.0,3460.0,2.0,2.0,0,MID 50,3.0,29.0,"(12:40) (Shotgun) 33-J.Williams left end to CHI 28 for 22 yards (29-T.Stevenson). FUMBLES (29-T.Stevenson), RECOVERED by CHI-29-T.Stevenson at CHI 28. 29-T.Stevenson pushed ob at CHI 24 for -4 yards (33-J.Williams).",run,22.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Williams,22.0,,,,,,,0.0,,0.0,,,,Turnover,0.0
7,CHI,CHI,76.0,3451.0,3.0,1.0,0,CHI 24,10.0,76.0,"(12:31) 4-D.Swift right guard to CHI 27 for 3 yards (28-M.Hooker). PENALTY on DAL-54-S.Williams, Illegal Use of Hands, 5 yards, enforced at CHI 27.",run,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,D.Swift,3.0,,,,,,,0.0,,0.0,DAL,5.0,Illegal Use of Hands,First down,0.0
8,CHI,CHI,68.0,3427.0,3.0,1.0,0,CHI 32,10.0,76.0,(12:07) 18-C.Williams pass deep right to 84-C.Loveland to DAL 37 for 31 yards (6-D.Wilson; 57-J.Sanborn).,pass,31.0,0.0,0.0,1.0,0.0,0.0,0.0,deep,right,17.0,14.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,C.Williams,31.0,C.Loveland,31.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
9,CHI,DAL,37.0,3386.0,3.0,1.0,0,DAL 37,10.0,76.0,(11:26) 18-C.Williams pass incomplete short right to 15-R.Odunze.,pass,0.0,0.0,0.0,1.0,0.0,0.0,0.0,short,right,7.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C.Williams,,R.Odunze,,,,,,,,,,0.0,,0.0,,,,Touchdown,0.0
10,CHI,DAL,37.0,3381.0,3.0,2.0,0,DAL 37,10.0,76.0,(11:21) (Shotgun) 18-C.Williams pass short right to 4-D.Swift to DAL 35 for 2 yards (90-S.Thomas; 59-K.Murray).,pass,2.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,-3.0,5.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,C.Williams,2.0,D.Swift,2.0,,,,,,,,,0.0,,0.0,,,,Touchdown,0.0
11,CHI,DAL,35.0,3340.0,3.0,3.0,0,DAL 35,8.0,76.0,"(10:40) (Shotgun) 18-C.Williams pass deep left to 15-R.Odunze for 35 yards, TOUCHDOWN.",pass,35.0,1.0,0.0,1.0,0.0,0.0,0.0,deep,left,25.0,10.0,,,,,,,0.0,,CHI,R.Odunze,6.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,C.Williams,35.0,R.Odunze,35.0,,,,,,,,,0.0,,0.0,,,,Touchdown,0.0
12,CHI,DAL,15.0,3335.0,3.0,,0,DAL 15,0.0,76.0,"8-C.Santos extra point is GOOD, Center-46-S.Daly, Holder-19-T.Taylor.",extra_point,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,33.0,good,,0.0,,,,7.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,C.Santos,0.0,,0.0,,,,Touchdown,1.0
13,DAL,CHI,35.0,3335.0,4.0,,0,CHI 35,0.0,46.0,"8-C.Santos kicks 65 yards from CHI 35 to landing zone to end zone, Touchback to the DAL 20.",kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,65.0,,,0.0,,,,7.0,0.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,C.Santos,0.0,DAL,0.0,,,,First down,1.0
14,DAL,DAL,80.0,3335.0,4.0,1.0,0,DAL 20,10.0,46.0,(10:35) 4-D.Prescott pass short right to 87-J.Ferguson to DAL 29 for 9 yards (24-N.McCloud).,pass,9.0,0.0,0.0,1.0,0.0,0.0,0.0,short,right,0.0,9.0,,,,,,,0.0,,,,7.0,0.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,D.Prescott,9.0,J.Ferguson,9.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
