,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,DET,BAL,35.0,3600.0,1.0,,0,BAL 35,0.0,67.0,33-T.Loop kicks 54 yards from BAL 35 to DET 11. 25-J.Saylors to DET 33 for 22 yards (35-J.Hummel; 16-T.Wallace).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,54.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,T.Loop,0.0,DET,22.0,,,,First down,1.0
1,DET,DET,67.0,3591.0,1.0,1.0,0,DET 33,10.0,67.0,(14:51) 0-J.Gibbs right guard to DET 35 for 2 yards (96-B.Washington; 24-M.Starks).,run,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,J.Gibbs,2.0,,,,,,,0.0,,0.0,,,,First down,0.0
2,DET,DET,65.0,3558.0,1.0,2.0,0,DET 35,8.0,67.0,(14:18) (Shotgun) 16-J.Goff pass deep right to 1-J.Williams pushed ob at BAL 41 for 24 yards (14-K.Hamilton) [99-O.Oweh].,pass,24.0,1.0,0.0,1.0,0.0,0.0,0.0,deep,right,20.0,4.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.Goff,24.0,J.Williams,24.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
3,DET,BAL,41.0,3523.0,1.0,1.0,0,BAL 41,10.0,67.0,(13:43) (Shotgun) 0-J.Gibbs up the middle to BAL 44 for -3 yards (99-O.Oweh).,run,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Gibbs,-3.0,,,,,,,0.0,,0.0,,,,First down,0.0
4,DET,BAL,44.0,3489.0,1.0,2.0,0,BAL 44,13.0,67.0,(13:09) 0-J.Gibbs left end to BAL 37 for 7 yards (3-C.Awuzie; 44-M.Humphrey).,run,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,J.Gibbs,7.0,,,,,,,0.0,,0.0,,,,First down,0.0
5,DET,BAL,37.0,3449.0,1.0,3.0,0,BAL 37,6.0,67.0,(12:29) (Shotgun) 16-J.Goff pass deep middle to 1-J.Williams to BAL 18 for 19 yards (3-C.Awuzie).,pass,19.0,1.0,0.0,1.0,0.0,0.0,0.0,deep,middle,19.0,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.Goff,19.0,J.Williams,19.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
6,DET,BAL,18.0,3411.0,1.0,1.0,0,BAL 18,10.0,67.0,(11:51) 0-J.Gibbs left end to BAL 16 for 2 yards (94-J.Jenkins).,run,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Gibbs,2.0,,,,,,,0.0,,0.0,,,,First down,0.0
7,DET,BAL,16.0,3371.0,1.0,2.0,0,BAL 16,8.0,67.0,(11:11) (Shotgun) 16-J.Goff pass short left to 0-J.Gibbs pushed ob at BAL 11 for 5 yards (40-T.Buchanan).,pass,5.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,4.0,1.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.Goff,5.0,J.Gibbs,5.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
8,DET,BAL,11.0,3331.0,1.0,3.0,0,BAL 11,3.0,67.0,(10:31) (Shotgun) 16-J.Goff pass incomplete short middle to 0-J.Gibbs.,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,middle,4.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Goff,,J.Gibbs,,,,,,,,,,0.0,,0.0,,,,First down,0.0
9,DET,BAL,11.0,3327.0,1.0,4.0,0,BAL 11,3.0,67.0,(10:27) (Shotgun) 16-J.Goff pass short right to 14-A.St. Brown to BAL 4 for 7 yards (14-K.Hamilton).,pass,7.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,6.0,1.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.Goff,7.0,A.St. Brown,7.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
