,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,NYJ,TB,35.0,3600.0,1.0,,0,TB 35,0.0,51.0,4-C.McLaughlin kicks 67 yards from TB 35 to NYJ -2. 0-B.Allen to NYJ 29 for 31 yards (41-K.Kieft; 58-M.Watts).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,67.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,C.McLaughlin,0.0,NYJ,31.0,,,,First down,1.0
1,NYJ,NYJ,71.0,3595.0,1.0,1.0,0,NYJ 29,10.0,51.0,(14:55) 2-T.Taylor scrambles left end ran ob at NYJ 36 for 7 yards (27-Z.McCollum).,run,7.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,left,end,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,T.Taylor,7.0,,,,,,,0.0,,0.0,,,,First down,0.0
2,NYJ,NYJ,64.0,3557.0,1.0,2.0,0,NYJ 36,3.0,51.0,(14:17) (Shotgun) 2-T.Taylor pass short right to 82-A.Smith ran ob at NYJ 42 for 6 yards.,pass,6.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,5.0,1.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,T.Taylor,6.0,A.Smith,6.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
3,NYJ,NYJ,58.0,3527.0,1.0,1.0,0,NYJ 42,10.0,51.0,(13:47) (Shotgun) 20-B.Hall right guard to NYJ 41 for -1 yards (0-Y.Diaby).,run,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,right,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,B.Hall,-1.0,,,,,,,0.0,,0.0,,,,First down,0.0
4,NYJ,NYJ,59.0,3491.0,1.0,2.0,0,NYJ 41,11.0,51.0,"(13:11) (Shotgun) 2-T.Taylor sacked at NYJ 41 for 0 yards (90-L.Hall). PENALTY on TB-90-L.Hall, Horse Collar Tackle, 15 yards, enforced at NYJ 41 - No Play.",no_play,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,TB,15.0,Horse Collar Tackle,First down,0.0
5,NYJ,TB,44.0,3474.0,1.0,1.0,0,TB 44,10.0,51.0,(12:54) (Shotgun) 2-T.Taylor scrambles right end to TB 43 for 1 yard (25-J.Parrish).,run,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,,right,end,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,T.Taylor,1.0,,,,,,,0.0,,0.0,,,,First down,0.0
6,NYJ,TB,43.0,3442.0,1.0,2.0,0,TB 43,9.0,51.0,"(12:22) (No Huddle, Shotgun) 0-B.Allen up the middle to TB 39 for 4 yards (50-V.Vea; 0-Y.Diaby).",run,4.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,B.Allen,4.0,,,,,,,0.0,,0.0,,,,First down,0.0
7,NYJ,TB,39.0,3402.0,1.0,3.0,0,TB 39,5.0,51.0,(11:42) (Shotgun) 2-T.Taylor pass short middle to 5-G.Wilson to TB 31 for 8 yards (27-Z.McCollum) [31-A.Winfield].,pass,8.0,1.0,0.0,1.0,0.0,0.0,0.0,short,middle,6.0,2.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,T.Taylor,8.0,G.Wilson,8.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
8,NYJ,TB,31.0,3368.0,1.0,1.0,0,TB 31,10.0,51.0,(11:08) (Shotgun) 2-T.Taylor pass short right to 20-B.Hall to TB 30 for 1 yard (43-C.Braswell).,pass,1.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,-5.0,6.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,T.Taylor,1.0,B.Hall,1.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
9,NYJ,TB,30.0,3331.0,1.0,2.0,0,TB 30,9.0,51.0,"(10:31) (Shotgun) 2-T.Taylor pass incomplete short middle to 85-M.Taylor. PENALTY on TB-54-L.David, Defensive Pass Interference, 4 yards, enforced at TB 30 - No Play.",no_play,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,TB,4.0,Defensive Pass Interference,First down,0.0
