,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,IND,LA,35.0,3600.0,1.0,,0,LA 35,0.0,16.0,16-J.Karty kicks 58 yards from LA 35 to IND 7. 6-A.Gould to IND 26 for 19 yards (2-J.McCollough; 48-O.Speights).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,58.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,J.Karty,0.0,IND,19.0,,,,First down,1.0
1,IND,IND,74.0,3593.0,1.0,1.0,0,IND 26,10.0,16.0,(14:53) 28-J.Taylor left end pushed ob at IND 31 for 5 yards (37-Q.Lake).,run,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Taylor,5.0,,,,,,,0.0,,0.0,,,,First down,0.0
2,IND,IND,69.0,3561.0,1.0,2.0,0,IND 31,5.0,16.0,(14:21) 17-D.Jones sacked at IND 30 for -1 yards (0-B.Young).,pass,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D.Jones,,,,,,,,,,,,0.0,,0.0,,,,First down,0.0
3,IND,IND,70.0,3517.0,1.0,3.0,0,IND 30,6.0,16.0,(13:37) (Shotgun) 17-D.Jones pass short right to 11-M.Pittman to IND 42 for 12 yards (37-Q.Lake).,pass,12.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,6.0,6.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,D.Jones,12.0,M.Pittman,12.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
4,IND,IND,58.0,3475.0,1.0,1.0,0,IND 42,10.0,16.0,(12:55) 17-D.Jones pass deep right intended for 10-A.Mitchell INTERCEPTED by 3-K.Curl at LA 20. 3-K.Curl to LA 20 for no gain (10-A.Mitchell).,pass,0.0,0.0,0.0,1.0,0.0,0.0,0.0,deep,right,38.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D.Jones,,A.Mitchell,,,,,,,,,,0.0,LA,0.0,,,,Turnover,0.0
5,LA,LA,80.0,3467.0,2.0,1.0,0,LA 20,10.0,57.0,(12:47) 23-K.Williams right tackle to LA 31 for 11 yards (48-J.Bachie; 0-C.Bynum).,run,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,K.Williams,11.0,,,,,,,0.0,,0.0,,,,First down,0.0
6,LA,LA,69.0,3438.0,2.0,1.0,0,LA 31,10.0,57.0,"(12:18) 9-M.Stafford pass short right to 12-P.Nacua to LA 39 for 8 yards (20-N.Cross, 90-G.Stewart).",pass,8.0,0.0,0.0,1.0,0.0,0.0,0.0,short,right,4.0,4.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,M.Stafford,8.0,P.Nacua,8.0,,,,,,,,,1.0,,0.0,,,,First down,0.0
7,LA,LA,61.0,3401.0,2.0,2.0,0,LA 39,2.0,57.0,(11:41) 23-K.Williams left tackle to 50 for 11 yards (99-D.Buckner).,run,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,K.Williams,11.0,,,,,,,0.0,,0.0,,,,First down,0.0
8,LA,50,50.0,3359.0,2.0,1.0,0,MID 50,10.0,57.0,(10:59) 9-M.Stafford pass incomplete deep left to 12-P.Nacua (97-L.Latu) [97-L.Latu].,pass,0.0,0.0,0.0,1.0,0.0,0.0,0.0,deep,left,29.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M.Stafford,,P.Nacua,,,,,,,,,,0.0,,0.0,,,,First down,0.0
9,LA,50,50.0,3354.0,2.0,2.0,0,MID 50,10.0,57.0,(10:54) (Shotgun) 23-K.Williams up the middle to IND 42 for 8 yards (44-Z.Franklin; 20-N.Cross).,run,8.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,K.Williams,8.0,,,,,,,0.0,,0.0,,,,First down,0.0
