,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,PIT,MIN,35.0,3600.0,1.0,,0,MIN 35,0.0,-2.0,16-W.Reichard kicks 56 yards from MIN 35 to PIT 9. 37-T.Sermon to PIT 35 for 26 yards (99-E.Williams).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,56.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,W.Reichard,0.0,PIT,26.0,,,,Punt,1.0
1,PIT,PIT,65.0,3595.0,1.0,1.0,0,PIT 35,10.0,-2.0,(14:55) (Shotgun) 8-A.Rodgers sacked at PIT 27 for -8 yards (61-J.Redmond).,pass,-8.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A.Rodgers,,,,,,,,,,,,0.0,,0.0,,,,Punt,0.0
2,PIT,PIT,73.0,3555.0,1.0,2.0,0,PIT 27,18.0,-2.0,(14:15) 74-S.Anderson reported in as eligible. 8-A.Rodgers pass short left to 14-K.Gainwell to PIT 33 for 6 yards (55-E.Wilson).,pass,6.0,0.0,0.0,1.0,0.0,0.0,0.0,short,left,1.0,5.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,A.Rodgers,6.0,K.Gainwell,6.0,,,,,,,,,0.0,,0.0,,,,Punt,0.0
3,PIT,PIT,67.0,3513.0,1.0,3.0,0,PIT 33,12.0,-2.0,(13:33) (Shotgun) 8-A.Rodgers pass short right to 81-J.Smith to PIT 33 for no gain (44-J.Metellus).,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,-1.0,1.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,A.Rodgers,0.0,J.Smith,0.0,,,,,,,,,0.0,,0.0,,,,Punt,0.0
4,PIT,PIT,67.0,3480.0,1.0,4.0,0,PIT 33,12.0,-2.0,"(13:00) 3-C.Waitman punts 54 yards to MIN 13, Center-46-C.Kuntz. 4-M.Price to MIN 26 for 13 yards (33-J.Sawyer; 15-B.Skowronek).",punt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,54.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,C.Waitman,,0.0,MIN,13.0,,,,Punt,1.0
5,MIN,MIN,74.0,3469.0,2.0,1.0,0,MIN 26,10.0,51.0,(12:49) (Shotgun) 11-C.Wentz pass short right to 18-J.Jefferson pushed ob at MIN 30 for 4 yards (23-D.Slay).,pass,4.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,4.0,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,C.Wentz,4.0,J.Jefferson,4.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
6,MIN,MIN,70.0,3440.0,2.0,2.0,0,MIN 30,6.0,51.0,(12:20) 27-J.Mason right end pushed ob at MIN 37 for 7 yards (23-D.Slay).,run,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,end,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Mason,7.0,,,,,,,0.0,,0.0,,,,First down,0.0
7,MIN,MIN,63.0,3406.0,2.0,1.0,0,MIN 37,10.0,51.0,(11:46) (Shotgun) 11-C.Wentz pass short left to 18-J.Jefferson to MIN 46 for 9 yards (21-C.Clark).,pass,9.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,4.0,5.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,C.Wentz,9.0,J.Jefferson,9.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
8,MIN,MIN,54.0,3366.0,2.0,2.0,0,MIN 46,1.0,51.0,(11:06) 27-J.Mason right guard to MIN 49 for 3 yards (25-D.Elliott).,run,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Mason,3.0,,,,,,,0.0,,0.0,,,,First down,0.0
9,MIN,MIN,51.0,3324.0,2.0,1.0,0,MIN 49,10.0,51.0,(10:24) (Shotgun) 11-C.Wentz pass short right to 27-J.Mason to PIT 45 for 6 yards (41-P.Wilson; 90-T.Watt).,pass,6.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,-5.0,11.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,C.Wentz,6.0,J.Mason,6.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
