,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,TB,PHI,35.0,3600.0,1.0,,0,PHI 35,0.0,28.0,"4-J.Elliott kicks 65 yards from PHI 35 to landing zone to end zone, Touchback to the TB 20.",kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,65.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,J.Elliott,0.0,TB,0.0,,,,First down,1.0
1,TB,TB,80.0,3600.0,1.0,1.0,0,TB 20,10.0,28.0,(15:00) (Shotgun) 6-B.Mayfield pass short left to 15-T.Johnson ran ob at TB 28 for 8 yards (7-K.Ringo).,pass,8.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,0.0,8.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,B.Mayfield,8.0,T.Johnson,8.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
2,TB,TB,72.0,3572.0,1.0,2.0,0,TB 28,2.0,28.0,(14:32) 7-B.Irving left tackle to TB 43 for 15 yards (33-C.DeJean; 24-A.Mukuba).,run,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,B.Irving,15.0,,,,,,,0.0,,0.0,,,,First down,0.0
3,TB,TB,57.0,3528.0,1.0,1.0,0,TB 43,10.0,28.0,(13:48) (Shotgun) 6-B.Mayfield pass incomplete short left to 14-C.Godwin (33-C.DeJean).,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,11.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.Mayfield,,C.Godwin,,,,,,,,,,0.0,,0.0,,,,Opp touchdown,0.0
4,TB,TB,57.0,3522.0,1.0,2.0,0,TB 43,10.0,28.0,(13:42) (Shotgun) 7-B.Irving up the middle to TB 48 for 5 yards (53-Z.Baun; 90-J.Davis).,run,5.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,B.Irving,5.0,,,,,,,0.0,,0.0,,,,Opp touchdown,0.0
5,TB,TB,52.0,3483.0,1.0,3.0,0,TB 48,5.0,28.0,(13:03) (Shotgun) 6-B.Mayfield pass incomplete short left to 2-E.Egbuka (27-Q.Mitchell).,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,7.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.Mayfield,,E.Egbuka,,,,,,,,,,0.0,,0.0,,,,Opp touchdown,0.0
6,TB,TB,52.0,3479.0,1.0,4.0,0,TB 48,5.0,28.0,"(12:59) 9-R.Dixon punt is BLOCKED by 36-C.Latu, Center-86-E.Deckers, RECOVERED by PHI-21-S.Brown at TB 35. 21-S.Brown for 35 yards, TOUCHDOWN.",punt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,0.0,,PHI,S.Brown,0.0,6.0,0.0,-6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,R.Dixon,,0.0,,0.0,,,,Opp touchdown,1.0
7,PHI,TB,15.0,3471.0,,,0,TB 15,0.0,,"4-J.Elliott extra point is GOOD, Center-47-C.Hughlett, Holder-10-B.Mann.",extra_point,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,33.0,good,,0.0,,,,0.0,7.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,J.Elliott,0.0,,0.0,,,,Opp touchdown,1.0
8,TB,PHI,35.0,3471.0,2.0,,0,PHI 35,0.0,8.0,4-J.Elliott kicks 61 yards from PHI 35 to TB 4. 19-K.Johnson to TB 25 for 21 yards (0-J.Uche).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,61.0,,,0.0,,,,0.0,7.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,J.Elliott,0.0,TB,21.0,,,,Punt,1.0
9,TB,TB,75.0,3467.0,2.0,1.0,0,TB 25,10.0,8.0,(12:47) (Shotgun) 6-B.Mayfield pass short right to 14-C.Godwin pushed ob at TB 32 for 7 yards (32-R.Blankenship).,pass,7.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,3.0,4.0,,,,,,,0.0,,,,0.0,7.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,B.Mayfield,7.0,C.Godwin,7.0,,,,,,,,,0.0,,0.0,,,,Punt,0.0
