,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,ARI,SEA,35.0,3600.0,1.0,,0,SEA 35,0.0,18.0,5-J.Myers kicks 64 yards from SEA 35 to ARI 1. 4-G.Dortch pushed ob at ARI 26 for 25 yards (83-D.Young).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,64.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,J.Myers,0.0,ARI,25.0,,,,First down,1.0
1,ARI,ARI,74.0,3594.0,1.0,1.0,0,ARI 26,10.0,18.0,(14:54) (Shotgun) 1-K.Murray pass short left to 18-M.Harrison pushed ob at ARI 34 for 8 yards (29-J.Jobe).,pass,8.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,-1.0,9.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,K.Murray,8.0,M.Harrison,8.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
2,ARI,ARI,66.0,3561.0,1.0,2.0,0,ARI 34,2.0,18.0,(14:21) (Shotgun) 1-K.Murray pass short left to 85-T.McBride pushed ob at ARI 41 for 7 yards (20-J.Love).,pass,7.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,4.0,3.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,K.Murray,7.0,T.McBride,7.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
3,ARI,ARI,59.0,3529.0,1.0,1.0,0,ARI 41,10.0,18.0,(13:49) 33-T.Benson left tackle to ARI 41 for no gain (13-E.Jones; 58-D.Hall).,run,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,T.Benson,0.0,,,,,,,0.0,,0.0,,,,Punt,0.0
4,ARI,ARI,59.0,3492.0,1.0,2.0,0,ARI 41,10.0,18.0,(13:12) (Shotgun) 1-K.Murray left end to ARI 44 for 3 yards (58-D.Hall).,run,3.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,K.Murray,3.0,,,,,,,0.0,,0.0,,,,Punt,0.0
5,ARI,ARI,56.0,3451.0,1.0,3.0,0,ARI 44,7.0,18.0,(12:31) (Shotgun) 1-K.Murray pass incomplete deep right to 14-Mi.Wilson.,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,deep,right,21.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K.Murray,,Mi.Wilson,,,,,,,,,,0.0,,0.0,,,,Punt,0.0
6,ARI,ARI,56.0,3445.0,1.0,4.0,0,ARI 44,7.0,18.0,"(12:25) 12-B.Gillikin punts 42 yards to SEA 14, Center-46-A.Brewer, fair catch by 15-T.Horton.",punt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,B.Gillikin,,0.0,SEA,0.0,,,,Punt,1.0
7,SEA,SEA,86.0,3437.0,2.0,1.0,0,SEA 14,10.0,38.0,(12:17) (Shotgun) 9-K.Walker right end to SEA 14 for no gain (2-Ma.Wilson).,run,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,right,end,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,K.Walker,0.0,,,,,,,0.0,,0.0,,,,First down,0.0
8,SEA,SEA,86.0,3413.0,2.0,2.0,0,SEA 14,10.0,38.0,"(11:53) (No Huddle, Shotgun) 14-S.Darnold pass short left to 9-K.Walker pushed ob at SEA 43 for 29 yards (34-J.Thompson).",pass,29.0,1.0,1.0,1.0,0.0,0.0,0.0,short,left,-3.0,32.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,S.Darnold,29.0,K.Walker,29.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
9,SEA,SEA,57.0,3374.0,2.0,1.0,0,SEA 43,10.0,38.0,(11:14) (Shotgun) 11-J.Smith-Njigba right end to SEA 45 for 2 yards (29-D.Burke).,run,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,right,end,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Smith-Njigba,2.0,,,,,,,0.0,,0.0,,,,Turnover on downs,0.0
