,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,HOU,BAL,35.0,3600.0,1.0,,0,BAL 35,0.0,67.0,33-T.Loop kicks 63 yards from BAL 35 to HOU 2. 14-J.Noel ran ob at HOU 33 for 31 yards (33-T.Loop).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,63.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,T.Loop,0.0,HOU,31.0,,,,First down,1.0
1,HOU,HOU,67.0,3593.0,1.0,1.0,0,HOU 33,10.0,67.0,(14:53) 57-B.Fisher reported in as eligible. 21-N.Chubb right tackle to HOU 36 for 3 yards (32-T.Simpson; 30-R.Lowery).,run,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,N.Chubb,3.0,,,,,,,0.0,,0.0,,,,First down,0.0
2,HOU,HOU,64.0,3552.0,1.0,2.0,0,HOU 36,7.0,67.0,(14:12) 7-C.Stroud pass short middle to 12-N.Collins to BAL 40 for 24 yards (24-M.Starks; 27-T.Tampa).,pass,24.0,0.0,0.0,1.0,0.0,0.0,0.0,short,middle,14.0,10.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,C.Stroud,24.0,N.Collins,24.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
3,HOU,BAL,40.0,3513.0,1.0,1.0,0,BAL 40,10.0,67.0,(13:33) (Shotgun) 7-C.Stroud pass incomplete deep right to 12-N.Collins.,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,deep,right,28.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C.Stroud,,N.Collins,,,,,,,,,,0.0,,0.0,,,,First down,0.0
4,HOU,BAL,40.0,3509.0,1.0,2.0,0,BAL 40,10.0,67.0,(13:29) (Shotgun) 57-B.Fisher reported in as eligible. 21-N.Chubb right guard to BAL 31 for 9 yards (32-T.Simpson).,run,9.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,right,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,N.Chubb,9.0,,,,,,,0.0,,0.0,,,,First down,0.0
5,HOU,BAL,31.0,3465.0,1.0,3.0,0,BAL 31,1.0,67.0,(12:45) 57-B.Fisher reported in as eligible. 44-B.Brooks left guard to BAL 22 for 9 yards (24-M.Starks).,run,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,B.Brooks,9.0,,,,,,,0.0,,0.0,,,,First down,0.0
6,HOU,BAL,22.0,3423.0,1.0,1.0,0,BAL 22,10.0,67.0,(12:03) (Shotgun) 57-B.Fisher reported in as eligible. 7-C.Stroud pass short right to 81-J.Higgins pushed ob at BAL 16 for 6 yards (27-T.Tampa).,pass,6.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,5.0,1.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,C.Stroud,6.0,J.Higgins,6.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
7,HOU,BAL,16.0,3390.0,1.0,2.0,0,BAL 16,4.0,67.0,(11:30) 27-W.Marks left end to BAL 15 for 1 yard (38-K.Martin).,run,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,W.Marks,1.0,,,,,,,0.0,,0.0,,,,First down,0.0
8,HOU,BAL,15.0,3350.0,1.0,3.0,0,BAL 15,3.0,67.0,(10:50) (Shotgun) 7-C.Stroud pass short left to 86-D.Schultz to BAL 4 for 11 yards (24-M.Starks; 99-O.Oweh).,pass,11.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,3.0,8.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,C.Stroud,11.0,D.Schultz,11.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
9,HOU,BAL,4.0,3307.0,1.0,1.0,1,BAL 4,4.0,67.0,(10:07) (Shotgun) 27-W.Marks left guard to BAL 5 for -1 yards (97-B.Urban).,run,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,left,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,W.Marks,-1.0,,,,,,,0.0,,0.0,,,,Touchdown,0.0
