,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,IND,LV,35.0,3600.0,1.0,,0,LV 35,0.0,9.0,8-D.Carlson kicks 67 yards from LV 35 to IND -2. 6-A.Gould to IND 29 for 31 yards (27-T.McCollum).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,67.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,D.Carlson,0.0,IND,31.0,,,,Punt,1.0
1,IND,IND,71.0,3593.0,1.0,1.0,0,IND 29,10.0,9.0,(14:53) (Shotgun) 17-D.Jones pass short right to 84-T.Warren to IND 34 for 5 yards (45-D.White).,pass,5.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,5.0,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,D.Jones,5.0,T.Warren,5.0,,,,,,,,,0.0,,0.0,,,,Punt,0.0
2,IND,IND,66.0,3560.0,1.0,2.0,0,IND 34,5.0,9.0,"(14:20) 28-J.Taylor right tackle to IND 32 for -2 yards (98-M.Crosby, 51-M.Koonce).",run,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,J.Taylor,-2.0,,,,,,,1.0,,0.0,,,,Punt,0.0
3,IND,IND,68.0,3518.0,1.0,3.0,0,IND 32,7.0,9.0,"(13:38) (Shotgun) 17-D.Jones pass short right to 11-M.Pittman to IND 38 for 6 yards (30-D.Holmes). Penalty on IND-72-B.Smith, Illegal Formation, declined.",pass,6.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,6.0,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,D.Jones,6.0,M.Pittman,6.0,,,,,,,,,0.0,,0.0,,,,Punt,0.0
4,IND,IND,62.0,3503.0,1.0,4.0,0,IND 38,1.0,9.0,"(13:23) 8-R.Sanchez punts 56 yards to LV 6, Center-46-L.Rhodes. 81-A.Bachman to LV 14 for 8 yards (25-R.Thomas).",punt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,56.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,R.Sanchez,,0.0,LV,8.0,,,,Punt,1.0
5,LV,LV,86.0,3491.0,2.0,1.0,0,LV 14,10.0,80.0,(13:11) (Shotgun) 7-G.Smith pass deep right to 2-A.Jeanty to LV 43 for 29 yards (20-N.Cross; 48-J.Bachie) [99-D.Buckner].,pass,29.0,1.0,0.0,1.0,0.0,0.0,0.0,deep,right,18.0,11.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,G.Smith,29.0,A.Jeanty,29.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
6,LV,LV,57.0,3455.0,2.0,1.0,0,LV 43,10.0,80.0,(12:35) 2-A.Jeanty up the middle to LV 42 for -1 yards (20-N.Cross).,run,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,A.Jeanty,-1.0,,,,,,,0.0,,0.0,,,,First down,0.0
7,LV,LV,58.0,3417.0,2.0,2.0,0,LV 42,11.0,80.0,(11:57) 2-A.Jeanty right tackle to LV 49 for 7 yards (33-M.Hilton).,run,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,A.Jeanty,7.0,,,,,,,0.0,,0.0,,,,First down,0.0
8,LV,LV,51.0,3374.0,2.0,3.0,0,LV 49,4.0,80.0,(11:14) (Shotgun) 7-G.Smith pass short left to 18-J.Bech to IND 45 for 6 yards (33-M.Hilton).,pass,6.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,5.0,1.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,G.Smith,6.0,J.Bech,6.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
9,LV,IND,45.0,3326.0,2.0,1.0,0,IND 45,10.0,80.0,(10:26) 2-A.Jeanty left guard to IND 42 for 3 yards (48-J.Bachie; 90-G.Stewart).,run,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,A.Jeanty,3.0,,,,,,,0.0,,0.0,,,,First down,0.0
