,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,CLE,MIN,35.0,3600.0,1.0,,0,MIN 35,0.0,7.0,"16-W.Reichard kicks 42 yards from MIN 35 to CLE 23, short of landing zone. PENALTY on MIN-16-W.Reichard, Kickoff Short of Landing Zone, placed at CLE 40.",kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,25.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,W.Reichard,0.0,,0.0,MIN,0.0,Kickoff Short of Landing Zone,Punt,1.0
1,CLE,CLE,60.0,3600.0,1.0,1.0,0,CLE 40,10.0,7.0,(15:00) (Shotgun) 10-Q.Judkins up the middle to CLE 44 for 4 yards (0-I.Pace).,run,4.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Q.Judkins,4.0,,,,,,,0.0,,0.0,,,,Punt,0.0
2,CLE,CLE,56.0,3568.0,1.0,2.0,0,CLE 44,6.0,7.0,"(14:28) (Shotgun) 10-Q.Judkins up the middle to CLE 47 for 3 yards (15-D.Turner). PENALTY on CLE-72-K.Leveston, Offensive Holding, 10 yards, enforced at CLE 45.",run,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Q.Judkins,1.0,,,,,,,0.0,,0.0,CLE,10.0,Offensive Holding,Punt,0.0
3,CLE,CLE,65.0,3538.0,1.0,2.0,0,CLE 35,15.0,7.0,(13:58) (Shotgun) 8-D.Gabriel pass short middle to 85-D.Njoku to CLE 47 for 12 yards (2-I.Rodgers; 26-T.Jackson).,pass,12.0,1.0,0.0,1.0,0.0,0.0,0.0,short,middle,0.0,12.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,D.Gabriel,12.0,D.Njoku,12.0,,,,,,,,,0.0,,0.0,,,,Punt,0.0
4,CLE,CLE,53.0,3493.0,1.0,3.0,0,CLE 47,3.0,7.0,(13:13) 8-D.Gabriel pass incomplete deep right to 16-I.Bond.,pass,0.0,0.0,0.0,1.0,0.0,0.0,0.0,deep,right,22.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D.Gabriel,,I.Bond,,,,,,,,,,0.0,,0.0,,,,Punt,0.0
5,CLE,CLE,53.0,3488.0,1.0,4.0,0,CLE 47,3.0,7.0,"(13:08) 13-C.Bojorquez punts 45 yards to MIN 8, Center-50-R.Sunahara, fair catch by 4-M.Price.",punt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,45.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,C.Bojorquez,,0.0,MIN,0.0,,,,Punt,1.0
6,MIN,MIN,92.0,3481.0,2.0,1.0,0,MIN 8,10.0,36.0,(13:01) 27-J.Mason right guard to MIN 17 for 9 yards (49-C.Schwesinger; 9-G.Delpit).,run,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,J.Mason,9.0,,,,,,,0.0,,0.0,,,,First down,0.0
7,MIN,MIN,83.0,3446.0,2.0,2.0,0,MIN 17,1.0,36.0,(12:26) (Shotgun) 27-J.Mason left guard to MIN 22 for 5 yards (49-C.Schwesinger).,run,5.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,left,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Mason,5.0,,,,,,,0.0,,0.0,,,,First down,0.0
8,MIN,MIN,78.0,3411.0,2.0,1.0,0,MIN 22,10.0,36.0,(11:51) (Shotgun) 11-C.Wentz pass short left to 87-T.Hockenson to MIN 31 for 9 yards (0-G.Newsome).,pass,9.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,-3.0,12.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,C.Wentz,9.0,T.Hockenson,9.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
9,MIN,MIN,69.0,3371.0,2.0,2.0,0,MIN 31,1.0,36.0,(11:11) 11-C.Wentz pass short right to 18-J.Jefferson to MIN 42 for 11 yards (17-J.Baker).,pass,11.0,0.0,0.0,1.0,0.0,0.0,0.0,short,right,0.0,11.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,C.Wentz,11.0,J.Jefferson,11.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
