,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,TB,SEA,35.0,3600.0,1.0,,0,SEA 35,0.0,68.0,"5-J.Myers kicks 65 yards from SEA 35 to landing zone to end zone, Touchback to the TB 20.",kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,65.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,J.Myers,0.0,TB,0.0,,,,First down,1.0
1,TB,TB,80.0,3596.0,1.0,1.0,0,TB 20,10.0,68.0,"(14:56) 1-R.White up the middle to TB 19 for -1 yards (8-C.Bryant, 99-L.Williams).",run,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,R.White,-1.0,,,,,,,1.0,,0.0,,,,First down,0.0
2,TB,TB,81.0,3555.0,1.0,2.0,0,TB 19,11.0,68.0,(14:15) (Shotgun) 6-B.Mayfield pass short left to 14-C.Godwin to TB 32 for 13 yards (13-E.Jones).,pass,13.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,5.0,8.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,B.Mayfield,13.0,C.Godwin,13.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
3,TB,TB,68.0,3514.0,1.0,1.0,0,TB 32,10.0,68.0,(13:34) 6-B.Mayfield pass deep left to 88-C.Otton to SEA 41 for 27 yards (48-T.Knight).,pass,27.0,0.0,0.0,1.0,0.0,0.0,0.0,deep,left,19.0,8.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,B.Mayfield,27.0,C.Otton,27.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
4,TB,SEA,41.0,3473.0,1.0,1.0,0,SEA 41,10.0,68.0,(12:53) 6-B.Mayfield pass short right to 1-R.White to SEA 37 for 4 yards (3-N.Emmanwori).,pass,4.0,0.0,0.0,1.0,0.0,0.0,0.0,short,right,-6.0,10.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,B.Mayfield,4.0,R.White,4.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
5,TB,SEA,37.0,3436.0,1.0,2.0,0,SEA 37,6.0,68.0,(12:16) 1-R.White left guard to SEA 32 for 5 yards (13-E.Jones; 7-U.Nwosu).,run,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,R.White,5.0,,,,,,,0.0,,0.0,,,,First down,0.0
6,TB,SEA,32.0,3396.0,1.0,3.0,0,SEA 32,1.0,68.0,"(11:36) 1-R.White right guard to SEA 29 for 3 yards (27-T.Woolen, 58-D.Hall).",run,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,R.White,3.0,,,,,,,1.0,,0.0,,,,First down,0.0
7,TB,SEA,29.0,3354.0,1.0,1.0,0,SEA 29,10.0,68.0,(10:54) (Shotgun) 6-B.Mayfield pass short middle to 88-C.Otton to SEA 17 for 12 yards (42-D.Thomas).,pass,12.0,1.0,0.0,1.0,0.0,0.0,0.0,short,middle,5.0,7.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,B.Mayfield,12.0,C.Otton,12.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
8,TB,SEA,17.0,3309.0,1.0,1.0,0,SEA 17,10.0,68.0,"(10:09) (Shotgun) 6-B.Mayfield pass short right to 44-S.Tucker to SEA 21 for -4 yards (1-D.Kendrick, 53-B.Mafe).",pass,-4.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,-7.0,3.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,B.Mayfield,-4.0,S.Tucker,-4.0,,,,,,,,,1.0,,0.0,,,,Field goal,0.0
9,TB,SEA,21.0,3267.0,1.0,2.0,0,SEA 21,14.0,68.0,(9:27) (Shotgun) 6-B.Mayfield pass short left to 17-S.Shepard to SEA 16 for 5 yards (27-T.Woolen).,pass,5.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,5.0,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,B.Mayfield,5.0,S.Shepard,5.0,,,,,,,,,0.0,,0.0,,,,Field goal,0.0
10,TB,SEA,16.0,3220.0,1.0,3.0,0,SEA 16,9.0,68.0,(8:40) (Shotgun) 6-B.Mayfield scrambles up the middle to SEA 12 for 4 yards (3-N.Emmanwori).,run,4.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,B.Mayfield,4.0,,,,,,,0.0,,0.0,,,,Field goal,0.0
11,TB,SEA,12.0,3180.0,1.0,4.0,0,SEA 12,5.0,68.0,"(8:00) 4-C.McLaughlin 30 yard field goal is GOOD, Center-86-E.Deckers, Holder-9-R.Dixon.",field_goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,made,30.0,,,0.0,,,,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,C.McLaughlin,0.0,,0.0,,,,Field goal,0.0
12,SEA,TB,35.0,3177.0,2.0,,0,TB 35,0.0,45.0,4-C.McLaughlin kicks 59 yards from TB 35 to SEA 6. 83-D.Young to SEA 29 for 23 yards (98-A.Nelson).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,59.0,,,0.0,,,,0.0,3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,C.McLaughlin,0.0,SEA,23.0,,,,First down,1.0
13,SEA,SEA,71.0,3173.0,2.0,1.0,0,SEA 29,10.0,45.0,"(7:53) (Shotgun) 14-S.Darnold pass short left to 15-T.Horton to SEA 41 for 12 yards (54-L.David). Penalty on TB-50-V.Vea, Defensive Offside, offsetting, enforced at SEA 29 - No Play. Penalty on SEA-11-J.Smith-Njigba, Offensive Offside, offsetting.",no_play,,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,3.0,-3.0,-3.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First down,0.0
14,SEA,SEA,71.0,3147.0,2.0,1.0,0,SEA 29,10.0,45.0,(7:27) (Shotgun) 14-S.Darnold pass deep left to 10-C.Kupp ran ob at TB 47 for 24 yards.,pass,24.0,1.0,0.0,1.0,0.0,0.0,0.0,deep,left,24.0,0.0,,,,,,,0.0,,,,0.0,3.0,-3.0,-3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,S.Darnold,24.0,C.Kupp,24.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
15,SEA,TB,47.0,3126.0,2.0,1.0,0,TB 47,10.0,45.0,(7:06) (No Huddle) 9-K.Walker right end pushed ob at TB 33 for 14 yards (27-Z.McCollum).,run,14.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,right,end,,,,,0.0,,,,0.0,3.0,-3.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,K.Walker,14.0,,,,,,,0.0,,0.0,,,,First down,0.0
16,SEA,TB,33.0,3094.0,2.0,1.0,0,TB 33,10.0,45.0,"(6:34) (No Huddle, Shotgun) 9-K.Walker up the middle to TB 31 for 2 yards (90-L.Hall; 8-S.Dennis).",run,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,K.Walker,2.0,,,,,,,0.0,,0.0,,,,Missed field goal,0.0
17,SEA,TB,31.0,3056.0,2.0,2.0,0,TB 31,8.0,45.0,"(5:56) 9-K.Walker left end to TB 25 for 6 yards (23-T.Smith). PENALTY on SEA-76-G.Zabel, Offensive Holding, 10 yards, enforced at TB 31 - No Play.",no_play,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,SEA,10.0,Offensive Holding,Missed field goal,0.0
18,SEA,TB,41.0,3031.0,2.0,2.0,0,TB 41,18.0,45.0,(5:31) (Shotgun) 9-K.Walker left end pushed ob at TB 39 for 2 yards (22-K.Vildor).,run,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,,,,,0.0,,,,0.0,3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,K.Walker,2.0,,,,,,,0.0,,0.0,,,,Missed field goal,0.0
19,SEA,TB,39.0,2992.0,2.0,3.0,0,TB 39,16.0,45.0,(4:52) (Shotgun) 14-S.Darnold pass short right to 11-J.Smith-Njigba to TB 26 for 13 yards (22-K.Vildor).,pass,13.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,8.0,5.0,,,,,,,0.0,,,,0.0,3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,S.Darnold,13.0,J.Smith-Njigba,13.0,,,,,,,,,0.0,,0.0,,,,Missed field goal,0.0
20,SEA,TB,26.0,2950.0,2.0,4.0,0,TB 26,3.0,45.0,"(4:10) 5-J.Myers 44 yard field goal is No Good, Wide Left, Center-41-C.Stoll, Holder-4-M.Dickson.",field_goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,missed,44.0,,,0.0,,,,0.0,3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,J.Myers,0.0,,0.0,,,,Missed field goal,0.0
21,TB,TB,66.0,2945.0,3.0,1.0,0,TB 34,10.0,48.0,(4:05) (Shotgun) 6-B.Mayfield pass incomplete deep left to 88-C.Otton (39-T.Okada).,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,deep,left,19.0,,,,,,,,0.0,,,,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.Mayfield,,C.Otton,,,,,,,,,,0.0,,0.0,,,,First down,0.0
22,TB,TB,66.0,2940.0,3.0,2.0,0,TB 34,10.0,48.0,(4:00) (Shotgun) 1-R.White right guard to TB 40 for 6 yards (42-D.Thomas).,run,6.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,right,guard,,,,,0.0,,,,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,R.White,6.0,,,,,,,0.0,,0.0,,,,First down,0.0
23,TB,TB,60.0,2906.0,3.0,3.0,0,TB 40,4.0,48.0,(3:26) (Shotgun) 6-B.Mayfield scrambles right end to TB 48 for 8 yards (39-T.Okada).,run,8.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,,right,end,,,,,0.0,,,,0.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,B.Mayfield,8.0,,,,,,,0.0,,0.0,,,,First down,0.0
24,TB,TB,52.0,2861.0,3.0,1.0,0,TB 48,10.0,48.0,(2:41) 1-R.White left guard to TB 49 for 1 yard (53-B.Mafe; 99-L.Williams).,run,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,guard,,,,,0.0,,,,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,R.White,1.0,,,,,,,0.0,,0.0,,,,First down,0.0
25,TB,TB,51.0,2822.0,3.0,2.0,0,TB 49,9.0,48.0,(2:02) (Shotgun) 6-B.Mayfield pass short right to 2-E.Egbuka pushed ob at SEA 42 for 9 yards (1-D.Kendrick).,pass,9.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,6.0,3.0,,,,,,,0.0,,,,0.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,B.Mayfield,9.0,E.Egbuka,9.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
26,TB,SEA,42.0,2785.0,3.0,1.0,0,SEA 42,10.0,48.0,(1:25) 19-K.Johnson right end to SEA 40 for 2 yards (39-T.Okada).,run,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,end,,,,,0.0,,,,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,K.Johnson,2.0,,,,,,,0.0,,0.0,,,,First down,0.0
27,TB,SEA,40.0,2746.0,3.0,2.0,0,SEA 40,8.0,48.0,"(:46) 6-B.Mayfield pass incomplete short right to 88-C.Otton (29-J.Jobe). PENALTY on SEA-91-B.Murphy, Roughing the Passer, 16 yards, enforced at SEA 40 - No Play.",no_play,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,SEA,16.0,Roughing the Passer,First down,0.0
28,TB,SEA,24.0,2741.0,3.0,1.0,0,SEA 24,10.0,48.0,(:41) (Shotgun) 6-B.Mayfield scrambles right end to SEA 21 for 3 yards (48-T.Knight).,run,3.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,,right,end,,,,,0.0,,,,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,B.Mayfield,3.0,,,,,,,0.0,,0.0,,,,Field goal,0.0
29,TB,,,2700.0,3.0,,0,SEA 21,0.0,48.0,END QUARTER 1,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,3.0,3.0,3.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Field goal,0.0
