,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,DET,TB,35.0,3600.0,1.0,,0,TB 35,0.0,69.0,4-C.McLaughlin kicks 62 yards from TB 35 to DET 3. 25-J.Saylors to DET 31 for 28 yards (98-A.Nelson).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,62.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,C.McLaughlin,0.0,DET,28.0,,,,First down,1.0
1,DET,DET,69.0,3597.0,1.0,1.0,0,DET 31,10.0,69.0,(14:57) 16-J.Goff pass incomplete short left to 14-A.St. Brown [5-H.Reddick].,pass,0.0,0.0,0.0,1.0,0.0,0.0,0.0,short,left,12.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Goff,,A.St. Brown,,,,,,,,,,0.0,,0.0,,,,First down,0.0
2,DET,DET,69.0,3593.0,1.0,2.0,0,DET 31,10.0,69.0,(14:53) 16-J.Goff pass short right to 0-J.Gibbs pushed ob at TB 39 for 30 yards (23-T.Smith).,pass,30.0,0.0,0.0,1.0,0.0,0.0,0.0,short,right,-4.0,34.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.Goff,30.0,J.Gibbs,30.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
3,DET,TB,39.0,3552.0,1.0,1.0,0,TB 39,10.0,69.0,(14:12) 0-J.Gibbs right tackle to TB 37 for 2 yards (8-S.Dennis; 54-L.David).,run,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,J.Gibbs,2.0,,,,,,,0.0,,0.0,,,,First down,0.0
4,DET,TB,37.0,3514.0,1.0,2.0,0,TB 37,8.0,69.0,(13:34) (Shotgun) 0-J.Gibbs left tackle to TB 35 for 2 yards (45-D.Jones; 0-Y.Diaby).,run,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,left,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,J.Gibbs,2.0,,,,,,,0.0,,0.0,,,,First down,0.0
5,DET,TB,35.0,3474.0,1.0,3.0,0,TB 35,6.0,69.0,"(12:54) (Shotgun) 16-J.Goff pass incomplete short right to 11-K.Raymond. PENALTY on TB-25-J.Parrish, Illegal Contact, 5 yards, enforced at TB 35 - No Play.",no_play,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,TB,5.0,Illegal Contact,First down,0.0
6,DET,TB,30.0,3467.0,1.0,1.0,0,TB 30,10.0,69.0,(12:47) 0-J.Gibbs left tackle to TB 27 for 3 yards (23-T.Smith; 54-L.David).,run,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,J.Gibbs,3.0,,,,,,,0.0,,0.0,,,,Touchdown,0.0
7,DET,TB,27.0,3426.0,1.0,2.0,0,TB 27,7.0,69.0,"(12:06) (Shotgun) 16-J.Goff pass short middle to 14-A.St. Brown for 27 yards, TOUCHDOWN.",pass,27.0,1.0,0.0,1.0,0.0,0.0,0.0,short,middle,9.0,18.0,,,,,,,0.0,,DET,A.St. Brown,6.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.Goff,27.0,A.St. Brown,27.0,,,,,,,,,0.0,,0.0,,,,Touchdown,0.0
8,DET,TB,15.0,3419.0,1.0,,0,TB 15,0.0,69.0,"39-J.Bates extra point is GOOD, Center-49-H.Hatten, Holder-3-J.Fox.",extra_point,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,33.0,good,,0.0,,,,7.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,J.Bates,0.0,,0.0,,,,Touchdown,1.0
9,TB,DET,35.0,3419.0,2.0,,0,DET 35,0.0,7.0,"39-J.Bates kicks 63 yards from DET 35 to TB 2. 19-K.Johnson to DET 47 for 51 yards (95-P.O'Connor). PENALTY on TB-26-K.Merriweather, Offensive Holding, 10 yards, enforced at TB 25.",kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,63.0,,,0.0,,,,7.0,0.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,J.Bates,0.0,TB,23.0,TB,10.0,Offensive Holding,Punt,1.0
