,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,MIN,LAC,35.0,3600.0,1.0,,0,LAC 35,0.0,25.0,"11-C.Dicker kicks 65 yards from LAC 35 to MIN 0. 4-M.Price pushed ob at MIN 46 for 46 yards (11-C.Dicker). PENALTY on MIN-96-T.Batty, Offensive Holding, 10 yards, enforced at MIN 26.",kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,65.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,C.Dicker,0.0,MIN,26.0,MIN,10.0,Offensive Holding,First down,1.0
1,MIN,MIN,84.0,3590.0,1.0,1.0,0,MIN 16,10.0,25.0,(14:50) (Shotgun) 11-C.Wentz pass incomplete short left to 33-A.Jones.,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,-6.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C.Wentz,,A.Jones,,,,,,,,,,0.0,,0.0,,,,First down,0.0
2,MIN,MIN,84.0,3586.0,1.0,2.0,0,MIN 16,10.0,25.0,(14:46) (Shotgun) 33-A.Jones up the middle to MIN 16 for no gain (6-D.Perryman).,run,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,A.Jones,0.0,,,,,,,0.0,,0.0,,,,First down,0.0
3,MIN,MIN,84.0,3543.0,1.0,3.0,0,MIN 16,10.0,25.0,(14:03) (Shotgun) 11-C.Wentz pass deep left to 18-J.Jefferson to MIN 32 for 16 yards (24-B.St-Juste) [0-D.Henley].,pass,16.0,1.0,0.0,1.0,0.0,0.0,0.0,deep,left,16.0,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,C.Wentz,16.0,J.Jefferson,16.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
4,MIN,MIN,68.0,3499.0,1.0,1.0,0,MIN 32,10.0,25.0,(13:19) 27-J.Mason left tackle to MIN 34 for 2 yards (24-B.St-Juste).,run,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Mason,2.0,,,,,,,0.0,,0.0,,,,Punt,0.0
5,MIN,MIN,66.0,3457.0,1.0,2.0,0,MIN 34,8.0,25.0,(12:37) (Shotgun) 11-C.Wentz pass short right to 3-J.Addison to MIN 41 for 7 yards (29-T.Still).,pass,7.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,1.0,6.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,C.Wentz,7.0,J.Addison,7.0,,,,,,,,,0.0,,0.0,,,,Punt,0.0
6,MIN,MIN,59.0,3414.0,1.0,3.0,0,MIN 41,1.0,25.0,(11:54) 11-C.Wentz pass incomplete short right.,pass,0.0,0.0,0.0,1.0,0.0,0.0,0.0,short,right,-6.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C.Wentz,,,,,,,,,,,,0.0,,0.0,,,,Punt,0.0
7,MIN,MIN,59.0,3407.0,1.0,4.0,0,MIN 41,1.0,25.0,"(11:47) 17-R.Wright punts 42 yards to LAC 17, Center-42-A.DePaola, fair catch by 12-D.Davis.",punt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,R.Wright,,0.0,LAC,0.0,,,,Punt,1.0
8,LAC,LAC,83.0,3400.0,2.0,1.0,0,LAC 17,10.0,83.0,(11:40) (Shotgun) 30-K.Vidal right tackle to LAC 14 for -3 yards (58-J.Greenard).,run,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,right,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,K.Vidal,-3.0,,,,,,,0.0,,0.0,,,,First down,0.0
9,LAC,LAC,86.0,3356.0,2.0,2.0,0,LAC 14,13.0,83.0,"(10:56) (Shotgun) 10-J.Herbert pass short left intended for 15-L.McConkey INTERCEPTED by 2-I.Rodgers [44-J.Metellus] at LAC 17. 2-I.Rodgers for 17 yards, TOUCHDOWN. The Replay Official reviewed the interception ruling, and the play was REVERSED. (Shotgun) 10-J.Herbert pass incomplete short left to 15-L.McConkey [44-J.Metellus].",pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,6.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Herbert,,L.McConkey,,,,,,,,,,0.0,,0.0,,,,First down,0.0
