,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,PHI,NYG,35.0,3600.0,1.0,,0,NYG 35,0.0,65.0,"12-J.Gillan kicks 65 yards from NYG 35 to end zone, Touchback to the PHI 35.",kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,65.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,J.Gillan,0.0,PHI,0.0,,,,Touchdown,1.0
1,PHI,PHI,65.0,3600.0,1.0,1.0,0,PHI 35,10.0,65.0,(15:00) (Shotgun) 1-J.Hurts pass incomplete deep left to 6-D.Smith (27-T.Nubin).,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,deep,left,20.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Hurts,,D.Smith,,,,,,,,,,0.0,,0.0,,,,Touchdown,0.0
2,PHI,PHI,65.0,3593.0,1.0,2.0,0,PHI 35,10.0,65.0,"(14:53) 74-F.Johnson reported in as eligible. 26-S.Barkley left tackle for 65 yards, TOUCHDOWN.",run,65.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,tackle,,,,,0.0,,PHI,S.Barkley,6.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,S.Barkley,65.0,,,,,,,0.0,,0.0,,,,Touchdown,0.0
3,PHI,NYG,15.0,3583.0,1.0,,0,NYG 15,0.0,65.0,"4-J.Elliott extra point is GOOD, Center-57-C.Adomitis, Holder-10-B.Mann.",extra_point,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,33.0,good,,0.0,,,,7.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,J.Elliott,0.0,,0.0,,,,Touchdown,1.0
4,NYG,PHI,35.0,3583.0,2.0,,0,PHI 35,0.0,-1.0,4-J.Elliott kicks 64 yards from PHI 35 to NYG 1. 80-G.Olszewski to NYG 31 for 30 yards (36-C.Latu).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,64.0,,,0.0,,,,7.0,0.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,J.Elliott,0.0,NYG,30.0,,,,Punt,1.0
5,NYG,NYG,69.0,3577.0,2.0,1.0,0,NYG 31,10.0,-1.0,(14:37) (Shotgun) 44-C.Skattebo right tackle to NYG 35 for 4 yards (30-J.Campbell).,run,4.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,right,tackle,,,,,0.0,,,,7.0,0.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,C.Skattebo,4.0,,,,,,,0.0,,0.0,,,,Punt,0.0
6,NYG,NYG,65.0,3543.0,2.0,2.0,0,NYG 35,6.0,-1.0,"(14:03) (No Huddle) 44-C.Skattebo left guard to NYG 38 for 3 yards (58-J.Hunt). PENALTY on NYG-82-D.Bellinger, Offensive Offside, 5 yards, enforced at NYG 35 - No Play.",no_play,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,7.0,0.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,NYG,5.0,Offensive Offside,Punt,0.0
7,NYG,NYG,70.0,3521.0,2.0,2.0,0,NYG 30,11.0,-1.0,(13:41) (Shotgun) 6-J.Dart scrambles right guard to NYG 31 for 1 yard (58-J.Hunt).,run,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,,right,guard,,,,,0.0,,,,7.0,0.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Dart,1.0,,,,,,,0.0,,0.0,,,,Punt,0.0
8,NYG,NYG,69.0,3479.0,2.0,3.0,0,NYG 31,10.0,-1.0,(12:59) (Shotgun) 6-J.Dart pass short right to 84-T.Johnson to NYG 30 for -1 yards (53-Z.Baun).,pass,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,-2.0,1.0,,,,,,,0.0,,,,7.0,0.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.Dart,-1.0,T.Johnson,-1.0,,,,,,,,,0.0,,0.0,,,,Punt,0.0
9,NYG,NYG,70.0,3441.0,2.0,4.0,0,NYG 30,11.0,-1.0,"(12:21) 12-J.Gillan punts 45 yards to PHI 25, Center-59-C.Kreiter, fair catch by 87-X.Gipson.",punt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,45.0,,,0.0,,,,7.0,0.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,J.Gillan,,0.0,PHI,0.0,,,,Punt,1.0
