,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,HOU,SF,35.0,3600.0,1.0,,0,SF 35,0.0,57.0,18-E.Pineiro kicks 57 yards from SF 35 to HOU 8. 31-D.Pierce to HOU 28 for 20 yards (89-L.Farrell; 36-M.Sigle).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,57.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,E.Pineiro,0.0,HOU,20.0,,,,First down,1.0
1,HOU,HOU,72.0,3594.0,1.0,1.0,0,HOU 28,10.0,57.0,(14:54) 57-B.Fisher reported in as eligible. 7-C.Stroud pass incomplete short left to 81-J.Higgins (93-K.Davis).,pass,0.0,0.0,0.0,1.0,0.0,0.0,0.0,short,left,12.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C.Stroud,,J.Higgins,,,,,,,,,,0.0,,0.0,,,,First down,0.0
2,HOU,HOU,72.0,3589.0,1.0,2.0,0,HOU 28,10.0,57.0,(14:49) (Shotgun) 21-N.Chubb up the middle to HOU 37 for 9 yards (6-M.Mustapha).,run,9.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,N.Chubb,9.0,,,,,,,0.0,,0.0,,,,First down,0.0
3,HOU,HOU,63.0,3552.0,1.0,3.0,0,HOU 37,1.0,57.0,(14:12) (Shotgun) 7-C.Stroud pass short left to 14-J.Noel pushed ob at HOU 41 for 4 yards (0-R.Green).,pass,4.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,3.0,1.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,C.Stroud,4.0,J.Noel,4.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
4,HOU,HOU,59.0,3512.0,1.0,1.0,0,HOU 41,10.0,57.0,(13:32) (Shotgun) 57-B.Fisher reported in as eligible. 21-N.Chubb right guard to HOU 46 for 5 yards (91-S.Okuayinonu).,run,5.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,right,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,N.Chubb,5.0,,,,,,,0.0,,0.0,,,,First down,0.0
5,HOU,HOU,54.0,3474.0,1.0,2.0,0,HOU 46,5.0,57.0,(12:54) 7-C.Stroud pass short right to 17-B.Berrios to SF 46 for 8 yards (0-R.Green).,pass,8.0,0.0,0.0,1.0,0.0,0.0,0.0,short,right,7.0,1.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,C.Stroud,8.0,B.Berrios,8.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
6,HOU,SF,46.0,3429.0,1.0,1.0,0,SF 46,10.0,57.0,"(12:09) 57-B.Fisher reported in as eligible. 27-W.Marks up the middle to SF 41 for 5 yards (51-R.Beal; 95-A.Collins). PENALTY on HOU, Illegal Shift, 5 yards, enforced at SF 46 - No Play.",no_play,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,HOU,5.0,Illegal Shift,First down,0.0
7,HOU,HOU,51.0,3408.0,1.0,1.0,0,HOU 49,15.0,57.0,(11:48) (Shotgun) 7-C.Stroud pass incomplete short right to 19-X.Hutchinson.,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,5.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C.Stroud,,X.Hutchinson,,,,,,,,,,0.0,,0.0,,,,First down,0.0
8,HOU,HOU,51.0,3404.0,1.0,2.0,0,HOU 49,15.0,57.0,(11:44) (Shotgun) 27-W.Marks up the middle to SF 47 for 4 yards (48-T.Bethune; 6-M.Mustapha).,run,4.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,W.Marks,4.0,,,,,,,0.0,,0.0,,,,First down,0.0
9,HOU,SF,47.0,3361.0,1.0,3.0,0,SF 47,11.0,57.0,(11:01) (Shotgun) 7-C.Stroud pass short middle to 17-B.Berrios to SF 33 for 14 yards (53-D.Winters).,pass,14.0,1.0,0.0,1.0,0.0,0.0,0.0,short,middle,6.0,8.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,C.Stroud,14.0,B.Berrios,14.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
