,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,WAS,KC,35.0,3600.0,1.0,,0,KC 35,0.0,39.0,7-H.Butker kicks 59 yards from KC 35 to WAS 6. 11-L.McCaffrey to WAS 43 for 37 yards (2-J.Williams).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,59.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,H.Butker,0.0,WAS,37.0,,,,First down,1.0
1,WAS,WAS,57.0,3595.0,1.0,1.0,0,WAS 43,10.0,39.0,(14:55) (Shotgun) 8-M.Mariota pass short right to 1-D.Samuel to WAS 49 for 6 yards (27-C.Conner).,pass,6.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,5.0,1.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,M.Mariota,6.0,D.Samuel,6.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
2,WAS,WAS,51.0,3567.0,1.0,2.0,0,WAS 49,4.0,39.0,"(14:27) (No Huddle, Shotgun) 8-M.Mariota left end to KC 48 for 3 yards (6-B.Cook; 56-G.Karlaftis).",run,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,left,end,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,M.Mariota,3.0,,,,,,,0.0,,0.0,,,,First down,0.0
3,WAS,KC,48.0,3537.0,1.0,3.0,0,KC 48,1.0,39.0,"(13:57) (No Huddle, Shotgun) 22-J.Croskey-Merritt right guard to KC 45 for 3 yards (54-L.Chenal; 51-M.Danna).",run,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,right,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,J.Croskey-Merritt,3.0,,,,,,,0.0,,0.0,,,,First down,0.0
4,WAS,KC,45.0,3496.0,1.0,1.0,0,KC 45,10.0,39.0,"(13:16) (No Huddle, Shotgun) 8-M.Mariota pass short left to 1-D.Samuel pushed ob at KC 40 for 5 yards (23-D.Tranquill).",pass,5.0,1.0,1.0,1.0,0.0,0.0,0.0,short,left,-2.0,7.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,M.Mariota,5.0,D.Samuel,5.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
5,WAS,KC,40.0,3452.0,1.0,2.0,0,KC 40,5.0,39.0,"(12:32) (No Huddle, Shotgun) 22-J.Croskey-Merritt left guard to KC 38 for 2 yards (32-N.Bolton; 54-L.Chenal).",run,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,left,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,J.Croskey-Merritt,2.0,,,,,,,0.0,,0.0,,,,First down,0.0
6,WAS,KC,38.0,3414.0,1.0,3.0,0,KC 38,3.0,39.0,"(11:54) (No Huddle, Shotgun) 8-M.Mariota right end to KC 31 for 7 yards (99-J.Tillery).",run,7.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,right,end,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,M.Mariota,7.0,,,,,,,0.0,,0.0,,,,First down,0.0
7,WAS,KC,31.0,3374.0,1.0,1.0,0,KC 31,10.0,39.0,"(11:14) (No Huddle, Shotgun) 8-M.Mariota pass short right to 11-L.McCaffrey to KC 22 for 9 yards (27-C.Conner).",pass,9.0,1.0,1.0,1.0,0.0,0.0,0.0,short,right,-2.0,11.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,M.Mariota,9.0,L.McCaffrey,9.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
8,WAS,KC,22.0,3328.0,1.0,2.0,0,KC 22,1.0,39.0,"(10:28) (No Huddle, Shotgun) 22-J.Croskey-Merritt right guard to KC 18 for 4 yards (27-C.Conner).",run,4.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,right,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Croskey-Merritt,4.0,,,,,,,0.0,,0.0,,,,First down,0.0
9,WAS,KC,18.0,3289.0,1.0,1.0,0,KC 18,10.0,39.0,"(9:49) (No Huddle, Shotgun) 8-M.Mariota pass short left intended for 1-D.Samuel INTERCEPTED by 51-M.Danna at KC 22. 51-M.Danna to KC 32 for 10 yards (1-D.Samuel).",pass,0.0,1.0,1.0,1.0,0.0,0.0,0.0,short,left,-4.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M.Mariota,,D.Samuel,,,,,,,,,,0.0,KC,10.0,,,,Turnover,0.0
