,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,HOU,DEN,35.0,3600.0,1.0,,0,DEN 35,0.0,32.0,3-W.Lutz kicks 65 yards from DEN 35 to HOU 0. 11-T.Smith to HOU 36 for 36 yards (26-D.Key).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,65.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,W.Lutz,0.0,HOU,36.0,,,,First down,1.0
1,HOU,HOU,64.0,3594.0,1.0,1.0,0,HOU 36,10.0,32.0,(14:54) 57-B.Fisher reported in as eligible. 21-N.Chubb up the middle to HOU 38 for 2 yards (99-Z.Allen; 49-A.Singleton).,run,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,N.Chubb,2.0,,,,,,,0.0,,0.0,,,,First down,0.0
2,HOU,HOU,62.0,3556.0,1.0,2.0,0,HOU 38,8.0,32.0,"(14:16) (Shotgun) 7-C.Stroud pass incomplete short left to 13-C.Kirk (99-Z.Allen, 29-J.McMillian).",pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,4.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C.Stroud,,C.Kirk,,,,,,,,,,0.0,,0.0,,,,First down,0.0
3,HOU,HOU,62.0,3552.0,1.0,3.0,0,HOU 38,8.0,32.0,(14:12) (Shotgun) 7-C.Stroud pass short left to 12-N.Collins to HOU 47 for 9 yards (31-K.Abrams-Draine; 49-A.Singleton).,pass,9.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,7.0,2.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,C.Stroud,9.0,N.Collins,9.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
4,HOU,HOU,53.0,3512.0,1.0,1.0,0,HOU 47,10.0,32.0,(13:32) 57-B.Fisher reported in as eligible. 27-W.Marks left tackle to HOU 49 for 2 yards (49-A.Singleton).,run,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,W.Marks,2.0,,,,,,,0.0,,0.0,,,,First down,0.0
5,HOU,HOU,51.0,3475.0,1.0,2.0,0,HOU 49,8.0,32.0,(12:55) (Shotgun) 27-W.Marks left tackle to HOU 49 for no gain (9-T.Hufanga).,run,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,left,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,W.Marks,0.0,,,,,,,0.0,,0.0,,,,First down,0.0
6,HOU,HOU,51.0,3434.0,1.0,3.0,0,HOU 49,8.0,32.0,(12:14) (Shotgun) 7-C.Stroud pass short right to 13-C.Kirk to DEN 38 for 13 yards (31-K.Abrams-Draine) [99-Z.Allen].,pass,13.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,13.0,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,C.Stroud,13.0,C.Kirk,13.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
7,HOU,DEN,38.0,3390.0,1.0,1.0,0,DEN 38,10.0,32.0,(11:30) (Shotgun) 57-B.Fisher reported in as eligible. 7-C.Stroud sacked at DEN 38 for 0 yards (57-D.Greenlaw).,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C.Stroud,,,,,,,,,,,,0.0,,0.0,,,,First down,0.0
8,HOU,DEN,38.0,3351.0,1.0,2.0,0,DEN 38,10.0,32.0,(10:51) (Shotgun) 7-C.Stroud pass short right to 19-X.Hutchinson pushed ob at DEN 32 for 6 yards (21-R.Moss).,pass,6.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,4.0,2.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,C.Stroud,6.0,X.Hutchinson,6.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
9,HOU,DEN,32.0,3313.0,1.0,3.0,0,DEN 32,4.0,32.0,(10:13) (Shotgun) 7-C.Stroud pass short right to 86-D.Schultz pushed ob at DEN 30 for 2 yards (22-B.Jones).,pass,2.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,2.0,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,C.Stroud,2.0,D.Schultz,2.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
