,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,PIT,IND,35.0,3600.0,1.0,,0,IND 35,0.0,6.0,12-M.Badgley kicks 56 yards from IND 35 to PIT 9. 85-K.Williams to PIT 39 for 30 yards (50-S.Olubi).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,56.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,M.Badgley,0.0,PIT,30.0,,,,Punt,1.0
1,PIT,PIT,61.0,3594.0,1.0,1.0,0,PIT 39,10.0,6.0,(14:54) 8-A.Rodgers pass incomplete deep left to 81-J.Smith.,pass,0.0,0.0,0.0,1.0,0.0,0.0,0.0,deep,left,16.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A.Rodgers,,J.Smith,,,,,,,,,,0.0,,0.0,,,,Punt,0.0
2,PIT,PIT,61.0,3589.0,1.0,2.0,0,PIT 39,10.0,6.0,(14:49) 74-S.Anderson reported in as eligible. 8-A.Rodgers pass short right to 4-D.Metcalf to PIT 45 for 6 yards (51-K.Paye).,pass,6.0,0.0,0.0,1.0,0.0,0.0,0.0,short,right,4.0,2.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,A.Rodgers,6.0,D.Metcalf,6.0,,,,,,,,,0.0,,0.0,,,,Punt,0.0
3,PIT,PIT,55.0,3545.0,1.0,3.0,0,PIT 45,4.0,6.0,(14:05) (Shotgun) 8-A.Rodgers pass short middle to 30-J.Warren to PIT 45 for no gain (44-Z.Franklin).,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,middle,0.0,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,A.Rodgers,0.0,J.Warren,0.0,,,,,,,,,0.0,,0.0,,,,Punt,0.0
4,PIT,PIT,55.0,3512.0,1.0,4.0,0,PIT 45,4.0,6.0,"(13:32) 3-C.Waitman punts 45 yards to IND 10, Center-46-C.Kuntz. 1-J.Downs to IND 21 for 11 yards (26-B.Echols).",punt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,45.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,C.Waitman,,0.0,IND,11.0,,,,Punt,1.0
5,IND,IND,79.0,3501.0,2.0,1.0,0,IND 21,10.0,79.0,(13:21) (Shotgun) 17-D.Jones pass short left to 14-A.Pierce pushed ob at IND 31 for 10 yards (24-J.Porter).,pass,10.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,8.0,2.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,D.Jones,10.0,A.Pierce,10.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
6,IND,IND,69.0,3463.0,2.0,1.0,0,IND 31,10.0,79.0,(12:43) 28-J.Taylor left guard to IND 30 for -1 yards (56-A.Highsmith).,run,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Taylor,-1.0,,,,,,,0.0,,0.0,,,,First down,0.0
7,IND,IND,70.0,3429.0,2.0,2.0,0,IND 30,11.0,79.0,(12:09) (Shotgun) 17-D.Jones pass incomplete short left to 1-J.Downs (24-J.Porter).,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,5.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D.Jones,,J.Downs,,,,,,,,,,0.0,,0.0,,,,First down,0.0
8,IND,IND,70.0,3425.0,2.0,3.0,0,IND 30,11.0,79.0,(12:05) (Shotgun) 17-D.Jones pass deep left to 14-A.Pierce pushed ob at IND 48 for 18 yards (24-J.Porter).,pass,18.0,1.0,0.0,1.0,0.0,0.0,0.0,deep,left,18.0,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,D.Jones,18.0,A.Pierce,18.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
9,IND,IND,52.0,3386.0,2.0,1.0,0,IND 48,10.0,79.0,(11:26) (Shotgun) 17-D.Jones pass deep right to 14-A.Pierce pushed ob at PIT 16 for 36 yards (41-P.Wilson).,pass,36.0,1.0,0.0,1.0,0.0,0.0,0.0,deep,right,20.0,16.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,D.Jones,36.0,A.Pierce,36.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
10,IND,PIT,16.0,3346.0,2.0,1.0,0,PIT 16,10.0,79.0,(10:46) 17-D.Jones pass incomplete short right to 81-M.Alie-Cox (6-P.Queen).,pass,0.0,0.0,0.0,1.0,0.0,0.0,0.0,short,right,13.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D.Jones,,M.Alie-Cox,,,,,,,,,,0.0,,0.0,,,,First down,0.0
11,IND,PIT,16.0,3340.0,2.0,2.0,0,PIT 16,10.0,79.0,(10:40) (Shotgun) 17-D.Jones pass short left to 1-J.Downs to PIT 8 for 8 yards (23-D.Slay; 41-P.Wilson). PIT-23-D.Slay was injured during the play.,pass,8.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,5.0,3.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,D.Jones,8.0,J.Downs,8.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
12,IND,PIT,8.0,3313.0,2.0,3.0,0,PIT 8,2.0,79.0,(10:13) (Shotgun) 17-D.Jones pass short left to 84-T.Warren to PIT 7 for 1 yard (5-J.Ramsey).,pass,1.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,1.0,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,D.Jones,1.0,T.Warren,1.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
13,IND,PIT,7.0,3278.0,2.0,4.0,0,PIT 7,1.0,79.0,(9:38) 28-J.Taylor left guard to PIT 5 for 2 yards (95-K.Benton).,run,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Taylor,2.0,,,,,,,0.0,,0.0,,,,First down,0.0
14,IND,PIT,5.0,3236.0,2.0,1.0,1,PIT 5,5.0,79.0,(8:56) (Shotgun) 17-D.Jones pass incomplete short left to 84-T.Warren (97-Ca.Heyward).,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,-6.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D.Jones,,T.Warren,,,,,,,,,,0.0,,0.0,,,,Touchdown,0.0
