,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,SEA,ARI,35.0,3600.0,1.0,,0,ARI 35,0.0,65.0,38-C.Ryland kicks 52 yards from ARI 35 to SEA 13. 22-R.Shaheed to SEA 35 for 22 yards (27-A.Davis-Gaither; 42-D.Taylor-Demerson).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,52.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,C.Ryland,0.0,SEA,22.0,,,,First down,1.0
1,SEA,SEA,65.0,3595.0,1.0,1.0,0,SEA 35,10.0,65.0,(14:55) (Shotgun) 14-S.Darnold pass short right to 9-K.Walker pushed ob at SEA 38 for 3 yards (34-J.Thompson).,pass,3.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,-2.0,5.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,S.Darnold,3.0,K.Walker,3.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
2,SEA,SEA,62.0,3562.0,1.0,2.0,0,SEA 38,7.0,65.0,(14:22) 26-Z.Charbonnet up the middle to SEA 40 for 2 yards (27-A.Davis-Gaither; 94-D.Tomlinson).,run,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,Z.Charbonnet,2.0,,,,,,,0.0,,0.0,,,,First down,0.0
3,SEA,SEA,60.0,3519.0,1.0,3.0,0,SEA 40,5.0,65.0,(13:39) (Shotgun) 14-S.Darnold pass short left to 10-C.Kupp to SEA 47 for 7 yards (21-G.Williams).,pass,7.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,6.0,1.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,S.Darnold,7.0,C.Kupp,7.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
4,SEA,SEA,53.0,3478.0,1.0,1.0,0,SEA 47,10.0,65.0,(12:58) (Shotgun) 14-S.Darnold pass short left to 11-J.Smith-Njigba to ARI 45 for 8 yards (29-D.Burke).,pass,8.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,6.0,2.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,S.Darnold,8.0,J.Smith-Njigba,8.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
5,SEA,ARI,45.0,3437.0,1.0,2.0,0,ARI 45,2.0,65.0,(12:17) 9-K.Walker right guard to ARI 44 for 1 yard (94-D.Tomlinson).,run,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,K.Walker,1.0,,,,,,,0.0,,0.0,,,,First down,0.0
6,SEA,ARI,44.0,3400.0,1.0,3.0,0,ARI 44,1.0,65.0,(11:40) Direct snap to 88-A.Barner. 88-A.Barner up the middle to ARI 43 for 1 yard (50-C.Simon; 3-B.Baker).,run,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,A.Barner,1.0,,,,,,,0.0,,0.0,,,,First down,0.0
7,SEA,ARI,43.0,3361.0,1.0,1.0,0,ARI 43,10.0,65.0,"(11:01) 14-S.Darnold pass deep left to 11-J.Smith-Njigba for 43 yards, TOUCHDOWN.",pass,43.0,0.0,0.0,1.0,0.0,0.0,0.0,deep,left,42.0,1.0,,,,,,,0.0,,SEA,J.Smith-Njigba,6.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,S.Darnold,43.0,J.Smith-Njigba,43.0,,,,,,,,,0.0,,0.0,,,,Touchdown,0.0
8,SEA,ARI,15.0,3355.0,1.0,,0,ARI 15,0.0,65.0,"5-J.Myers extra point is GOOD, Center-41-C.Stoll, Holder-4-M.Dickson.",extra_point,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,33.0,good,,0.0,,,,7.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,J.Myers,0.0,,0.0,,,,Touchdown,1.0
9,ARI,SEA,35.0,3355.0,2.0,,0,SEA 35,0.0,14.0,"5-J.Myers kicks 60 yards from SEA 35 to ARI 5. 4-G.Dortch pushed ob at ARI 30 for 25 yards (28-N.Pritchett). PENALTY on ARI-36-K.Crawford, Offensive Holding, 10 yards, enforced at ARI 30.",kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,60.0,,,0.0,,,,7.0,0.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,J.Myers,0.0,ARI,25.0,ARI,10.0,Offensive Holding,First down,1.0
10,ARI,ARI,80.0,3349.0,2.0,1.0,0,ARI 20,10.0,14.0,(10:49) 68-K.Beachum reported in as eligible. 7-J.Brissett pass short left to 85-T.McBride pushed ob at ARI 44 for 24 yards (39-T.Okada; 42-D.Thomas).,pass,24.0,0.0,0.0,1.0,0.0,0.0,0.0,short,left,5.0,19.0,,,,,,,0.0,,,,7.0,0.0,-7.0,-7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,J.Brissett,24.0,T.McBride,24.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
