,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,IND,ATL,35.0,3600.0,1.0,,0,ATL 35,0.0,48.0,13-B.Pinion kicks 60 yards from ATL 35 to IND 5. 16-A.Dulin to IND 25 for 20 yards (4-K.Hodge; 84-F.Franks).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,60.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,B.Pinion,0.0,IND,20.0,,,,First down,1.0
1,IND,IND,75.0,3596.0,1.0,1.0,0,IND 25,10.0,48.0,(14:56) 28-J.Taylor up the middle to IND 27 for 2 yards (11-J.Walker; 36-R.Harrison).,run,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,J.Taylor,2.0,,,,,,,0.0,,0.0,,,,First down,0.0
2,IND,IND,73.0,3559.0,1.0,2.0,0,IND 27,8.0,48.0,(14:19) (Shotgun) 17-D.Jones pass short left to 14-A.Pierce to IND 37 for 10 yards (11-J.Walker).,pass,10.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,7.0,3.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,D.Jones,10.0,A.Pierce,10.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
3,IND,IND,63.0,3523.0,1.0,1.0,0,IND 37,10.0,48.0,"(13:43) 17-D.Jones pass short right to 28-J.Taylor to ATL 49 for 14 yards (3-J.Bates). FUMBLES (3-J.Bates), recovered by IND-60-T.Bortolini at ATL 46.",pass,14.0,0.0,0.0,1.0,0.0,0.0,0.0,short,right,-5.0,19.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,D.Jones,14.0,J.Taylor,14.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
4,IND,ATL,46.0,3485.0,1.0,1.0,0,ATL 46,10.0,48.0,(13:05) 17-D.Jones pass short right to 84-T.Warren pushed ob at ATL 35 for 11 yards (3-J.Bates).,pass,11.0,0.0,0.0,1.0,0.0,0.0,0.0,short,right,4.0,7.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,D.Jones,11.0,T.Warren,11.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
5,IND,ATL,35.0,3449.0,1.0,1.0,0,ATL 35,10.0,48.0,(12:29) 28-J.Taylor left end to ATL 31 for 4 yards (20-D.Alford; 36-R.Harrison).,run,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,J.Taylor,4.0,,,,,,,0.0,,0.0,,,,Turnover on downs,0.0
6,IND,ATL,31.0,3410.0,1.0,2.0,0,ATL 31,6.0,48.0,(11:50) (Shotgun) 28-J.Taylor up the middle to ATL 27 for 4 yards (99-S.Roberts; 31-X.Watts).,run,4.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,J.Taylor,4.0,,,,,,,0.0,,0.0,,,,Turnover on downs,0.0
7,IND,ATL,27.0,3366.0,1.0,3.0,0,ATL 27,2.0,48.0,(11:06) 17-D.Jones pass incomplete short left to 81-M.Alie-Cox (3-J.Bates).,pass,0.0,0.0,0.0,1.0,0.0,0.0,0.0,short,left,15.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D.Jones,,M.Alie-Cox,,,,,,,,,,0.0,,0.0,,,,Turnover on downs,0.0
8,IND,ATL,27.0,3361.0,1.0,4.0,0,ATL 27,2.0,48.0,(11:01) (Shotgun) 17-D.Jones pass incomplete short right to 2-J.Downs (20-D.Alford).,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,2.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D.Jones,,J.Downs,,,,,,,,,,0.0,,0.0,,,,Turnover on downs,0.0
9,ATL,ATL,72.0,3358.0,2.0,1.0,0,ATL 28,10.0,3.0,(10:58) (Shotgun) 7-B.Robinson left tackle pushed ob at ATL 44 for 16 yards (1-A.Gardner).,run,16.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,left,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,B.Robinson,16.0,,,,,,,0.0,,0.0,,,,First down,0.0
10,ATL,ATL,56.0,3315.0,2.0,1.0,0,ATL 44,10.0,3.0,(10:15) (Shotgun) 9-M.Penix pass incomplete deep right to 8-K.Pitts.,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,deep,right,18.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M.Penix,,K.Pitts,,,,,,,,,,0.0,,0.0,,,,Turnover,0.0
11,ATL,ATL,56.0,3309.0,2.0,2.0,0,ATL 44,10.0,3.0,(10:09) (Shotgun) 7-B.Robinson left guard to ATL 46 for 2 yards (95-A.Adebawore; 20-N.Cross).,run,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,left,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,B.Robinson,2.0,,,,,,,0.0,,0.0,,,,Turnover,0.0
12,ATL,ATL,54.0,3264.0,2.0,3.0,0,ATL 46,8.0,3.0,"(9:24) (Shotgun) 9-M.Penix sacked at ATL 38 for -8 yards (0-C.Bynum). FUMBLES (0-C.Bynum), RECOVERED by IND-53-G.Pratt at ATL 31. 53-G.Pratt to ATL 23 for 8 yards (25-T.Allgeier; 71-E.Wilkinson).",pass,-15.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,M.Penix,,,,,,,,,,,,0.0,,0.0,,,,Turnover,0.0
13,IND,ATL,23.0,3255.0,3.0,1.0,0,ATL 23,10.0,23.0,(9:15) 16-A.Dulin left end to ATL 1 for 22 yards (31-X.Watts; 3-J.Bates).,run,22.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,A.Dulin,22.0,,,,,,,0.0,,0.0,,,,First down,0.0
14,IND,ATL,1.0,3220.0,3.0,1.0,1,ATL 1,1.0,23.0,"(8:40) (No Huddle, Shotgun) 28-J.Taylor up the middle for 1 yard, TOUCHDOWN.",run,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,IND,J.Taylor,6.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Taylor,1.0,,,,,,,0.0,,0.0,,,,Touchdown,0.0
15,IND,ATL,15.0,3216.0,3.0,,0,ATL 15,0.0,23.0,"12-M.Badgley extra point is No Good, Wide Right, Center-46-L.Rhodes, Holder-8-R.Sanchez.",extra_point,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,33.0,failed,,0.0,,,,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,M.Badgley,0.0,,0.0,,,,Touchdown,1.0
