,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,CLE,NYJ,35.0,3600.0,1.0,,0,NYJ 35,0.0,-8.0,14-A.McNamara kicks 62 yards from NYJ 35 to CLE 3. 22-D.Sampson to CLE 30 for 27 yards (56-Qu.Williams; 54-J.Weston).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,62.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,A.McNamara,0.0,CLE,27.0,,,,Punt,1.0
1,CLE,CLE,70.0,3593.0,1.0,1.0,0,CLE 30,10.0,-8.0,"(14:53) 10-Q.Judkins right end ran ob at CLE 45 for 15 yards (22-T.Adams). PENALTY on CLE-68-C.Robinson, Offensive Holding, 10 yards, enforced at CLE 32.",run,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,end,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Q.Judkins,2.0,,,,,,,0.0,,0.0,CLE,10.0,Offensive Holding,Punt,0.0
2,CLE,CLE,78.0,3569.0,1.0,1.0,0,CLE 22,18.0,-8.0,(14:29) (Shotgun) 10-Q.Judkins left guard to CLE 22 for no gain (44-J.Sherwood).,run,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,left,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Q.Judkins,0.0,,,,,,,0.0,,0.0,,,,Punt,0.0
3,CLE,CLE,78.0,3531.0,1.0,2.0,0,CLE 22,18.0,-8.0,(13:51) (Shotgun) 8-D.Gabriel pass incomplete short right to 44-H.Fannin.,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,4.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D.Gabriel,,H.Fannin,,,,,,,,,,0.0,,0.0,,,,Punt,0.0
4,CLE,CLE,78.0,3527.0,1.0,3.0,0,CLE 22,18.0,-8.0,(13:47) (Shotgun) 8-D.Gabriel pass incomplete short left to 44-H.Fannin.,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,2.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D.Gabriel,,H.Fannin,,,,,,,,,,0.0,,0.0,,,,Punt,0.0
5,CLE,CLE,78.0,3523.0,1.0,4.0,0,CLE 22,18.0,-8.0,"(13:43) 13-C.Bojorquez punts 49 yards to NYJ 29, Center-50-R.Sunahara. 18-I.Williams to NYJ 41 for 12 yards (86-B.Whiteheart; 42-E.Mascarenas-Arnold).",punt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,49.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,C.Bojorquez,,0.0,NYJ,12.0,,,,Punt,1.0
6,NYJ,NYJ,59.0,3512.0,2.0,1.0,0,NYJ 41,10.0,2.0,(13:32) (Shotgun) 20-B.Hall up the middle to NYJ 42 for 1 yard (49-C.Schwesinger).,run,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,B.Hall,1.0,,,,,,,0.0,,0.0,,,,Punt,0.0
7,NYJ,NYJ,58.0,3481.0,2.0,2.0,0,NYJ 42,9.0,2.0,(13:01) 7-J.Fields pass short right to 89-J.Ruckert to NYJ 42 for no gain (21-D.Ward).,pass,0.0,0.0,0.0,1.0,0.0,0.0,0.0,short,right,-3.0,3.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.Fields,0.0,J.Ruckert,0.0,,,,,,,,,0.0,,0.0,,,,Punt,0.0
8,NYJ,NYJ,58.0,3444.0,2.0,3.0,0,NYJ 42,9.0,2.0,(12:24) (Shotgun) 7-J.Fields pass short left to 32-I.Davis to NYJ 43 for 1 yard (7-T.Campbell; 9-G.Delpit) [49-C.Schwesinger].,pass,1.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,-8.0,9.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,J.Fields,1.0,I.Davis,1.0,,,,,,,,,0.0,,0.0,,,,Punt,0.0
9,NYJ,NYJ,57.0,3406.0,2.0,4.0,0,NYJ 43,8.0,2.0,"(11:46) 14-A.McNamara punts 52 yards to CLE 5, Center-42-T.Hennessy, downed by NYJ-37-Q.Stiggers.",punt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,52.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,A.McNamara,,0.0,CLE,0.0,,,,Punt,1.0
10,CLE,CLE,95.0,3396.0,3.0,1.0,0,CLE 5,10.0,95.0,(11:36) (Shotgun) 10-Q.Judkins up the middle to CLE 6 for 1 yard (97-H.Phillips).,run,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Q.Judkins,1.0,,,,,,,0.0,,0.0,,,,First down,0.0
