,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,CLE,BAL,35.0,3600.0,1.0,,0,BAL 35,0.0,5.0,33-T.Loop kicks 54 yards from BAL 35 to CLE 11. 22-D.Sampson to CLE 30 for 19 yards (26-R.Ali).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,54.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,T.Loop,0.0,CLE,19.0,,,,Punt,1.0
1,CLE,CLE,70.0,3596.0,1.0,1.0,0,CLE 30,10.0,5.0,(14:56) (Shotgun) 8-D.Gabriel pass short left to 83-M.Corley to CLE 32 for 2 yards (3-C.Awuzie; 12-A.Gilman).,pass,2.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,-1.0,3.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,D.Gabriel,2.0,M.Corley,2.0,,,,,,,,,0.0,,0.0,,,,Punt,0.0
2,CLE,CLE,68.0,3562.0,1.0,2.0,0,CLE 32,8.0,5.0,(14:22) (Shotgun) 8-D.Gabriel pass short right to 3-J.Jeudy pushed ob at CLE 39 for 7 yards (2-N.Wiggins).,pass,7.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,5.0,2.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,D.Gabriel,7.0,J.Jeudy,7.0,,,,,,,,,0.0,,0.0,,,,Punt,0.0
3,CLE,CLE,61.0,3527.0,1.0,3.0,0,CLE 39,1.0,5.0,(13:47) 74-T.Jenkins reported in as eligible. 10-Q.Judkins up the middle to CLE 39 for no gain (97-B.Urban; 91-B.Okoye).,run,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,Q.Judkins,0.0,,,,,,,0.0,,0.0,,,,Punt,0.0
4,CLE,CLE,61.0,3486.0,1.0,4.0,0,CLE 39,1.0,5.0,"(13:06) 98-A.Huntington and 74-T.Jenkins reported in as eligible. 10-Q.Judkins right guard to CLE 40 for 1 yard (0-R.Smith; 45-M.Green). PENALTY on CLE-68-C.Robinson, Illegal Formation, 4 yards, enforced at CLE 39 - No Play.",no_play,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,CLE,4.0,Illegal Formation,Punt,0.0
5,CLE,CLE,65.0,3467.0,1.0,4.0,0,CLE 35,5.0,5.0,"(12:47) 13-C.Bojorquez punts 63 yards to BAL 2, Center-50-R.Sunahara. 83-L.Wester to BAL 21 for 19 yards (31-D.McMillon; 41-C.Edmonds).",punt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,63.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,C.Bojorquez,,0.0,BAL,19.0,,,,Punt,1.0
6,BAL,BAL,79.0,3456.0,2.0,1.0,0,BAL 21,10.0,72.0,(12:36) (Shotgun) 8-L.Jackson right end to BAL 20 for -1 yards (49-C.Schwesinger).,run,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,right,end,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,L.Jackson,-1.0,,,,,,,0.0,,0.0,,,,First down,0.0
7,BAL,BAL,80.0,3415.0,2.0,2.0,0,BAL 20,11.0,72.0,(11:55) (Shotgun) 8-L.Jackson pass incomplete short right to 10-D.Hopkins.,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,14.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L.Jackson,,D.Hopkins,,,,,,,,,,0.0,,0.0,,,,First down,0.0
8,BAL,BAL,80.0,3411.0,2.0,3.0,0,BAL 20,11.0,72.0,(11:51) (Shotgun) 8-L.Jackson pass short middle to 26-R.Ali pushed ob at BAL 35 for 15 yards (9-G.Delpit).,pass,15.0,1.0,0.0,1.0,0.0,0.0,0.0,short,middle,1.0,14.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,L.Jackson,15.0,R.Ali,15.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
9,BAL,BAL,65.0,3372.0,2.0,1.0,0,BAL 35,10.0,72.0,(11:12) 34-K.Mitchell right end pushed ob at BAL 45 for 10 yards (21-D.Ward; 33-R.Hickman).,run,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,end,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,K.Mitchell,10.0,,,,,,,0.0,,0.0,,,,First down,0.0
