,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,PHI,DET,35.0,3600.0,1.0,,0,DET 35,0.0,8.0,"39-J.Bates kicks 65 yards from DET 35 to end zone, Touchback to the PHI 35.",kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,65.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,J.Bates,0.0,PHI,0.0,,,,First down,1.0
1,PHI,PHI,65.0,3600.0,1.0,1.0,0,PHI 35,10.0,8.0,(15:00) 74-F.Johnson reported in as eligible. 1-J.Hurts pass incomplete deep left to 6-D.Smith (21-A.Robertson).,pass,0.0,0.0,0.0,1.0,0.0,0.0,0.0,deep,left,16.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Hurts,,D.Smith,,,,,,,,,,0.0,,0.0,,,,First down,0.0
2,PHI,PHI,65.0,3593.0,1.0,2.0,0,PHI 35,10.0,8.0,(14:53) (Shotgun) 1-J.Hurts pass incomplete short left to 88-D.Goedert.,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,8.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Hurts,,D.Goedert,,,,,,,,,,0.0,,0.0,,,,First down,0.0
3,PHI,PHI,65.0,3589.0,1.0,3.0,0,PHI 35,10.0,8.0,(14:49) (Shotgun) 1-J.Hurts pass short left to 11-A.Brown to PHI 47 for 12 yards (23-R.Ya-Sin).,pass,12.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,12.0,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.Hurts,12.0,A.Brown,12.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
4,PHI,PHI,53.0,3546.0,1.0,1.0,0,PHI 47,10.0,8.0,"(14:06) (No Huddle, Shotgun) 1-J.Hurts pass incomplete deep left to 26-S.Barkley (34-A.Anzalone) [96-A.Muhammad]. PENALTY on PHI-65-L.Johnson, Offensive Holding, 10 yards, enforced at PHI 47 - No Play.",no_play,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,PHI,10.0,Offensive Holding,Punt,0.0
5,PHI,PHI,63.0,3537.0,1.0,1.0,0,PHI 37,20.0,8.0,(13:57) 37-T.Bigsby right guard to PHI 42 for 5 yards (91-T.Williams).,run,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,T.Bigsby,5.0,,,,,,,0.0,,0.0,,,,Punt,0.0
6,PHI,PHI,58.0,3499.0,1.0,2.0,0,PHI 42,15.0,8.0,(13:19) (Shotgun) 74-F.Johnson reported in as eligible. 1-J.Hurts pass incomplete short right to 11-A.Brown.,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,15.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Hurts,,A.Brown,,,,,,,,,,0.0,,0.0,,,,Punt,0.0
7,PHI,PHI,58.0,3496.0,1.0,3.0,0,PHI 42,15.0,8.0,(13:16) (Shotgun) 1-J.Hurts scrambles up the middle to PHI 43 for 1 yard (96-A.Muhammad).,run,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Hurts,1.0,,,,,,,0.0,,0.0,,,,Punt,0.0
8,PHI,PHI,57.0,3448.0,1.0,4.0,0,PHI 43,14.0,8.0,"(12:28) 10-B.Mann punts 42 yards to DET 15, Center-57-C.Adomitis. 11-K.Raymond to DET 14 for -1 yards (57-C.Adomitis).",punt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,42.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,B.Mann,,0.0,DET,-1.0,,,,Punt,1.0
9,DET,DET,86.0,3436.0,2.0,1.0,0,DET 14,10.0,12.0,(12:16) 16-J.Goff pass short right to 14-A.St. Brown pushed ob at DET 22 for 8 yards (8-A.Jackson).,pass,8.0,0.0,0.0,1.0,0.0,0.0,0.0,short,right,6.0,2.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.Goff,8.0,A.St. Brown,8.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
