,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,TB,ARI,35.0,3600.0,1.0,,0,ARI 35,0.0,26.0,38-C.Ryland kicks 64 yards from ARI 35 to TB 1. 19-K.Johnson to TB 27 for 26 yards (47-C.Tindall; 9-B.Ojulari).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,64.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,C.Ryland,0.0,TB,26.0,,,,First down,1.0
1,TB,TB,73.0,3594.0,1.0,1.0,0,TB 27,10.0,26.0,(14:54) (Shotgun) 1-R.White right guard to TB 29 for 2 yards (25-Z.Collins; 56-D.Robinson).,run,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,right,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,R.White,2.0,,,,,,,0.0,,0.0,,,,First down,0.0
2,TB,TB,71.0,3554.0,1.0,2.0,0,TB 29,8.0,26.0,(14:14) (Shotgun) 6-B.Mayfield pass short left to 88-C.Otton to TB 33 for 4 yards (21-G.Williams).,pass,4.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,1.0,3.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,B.Mayfield,4.0,C.Otton,4.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
3,TB,TB,67.0,3508.0,1.0,3.0,0,TB 33,4.0,26.0,"(13:28) (Shotgun) PENALTY on TB-67-L.Goedeke, False Start, 5 yards, enforced at TB 33 - No Play.",no_play,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,TB,5.0,False Start,First down,0.0
4,TB,TB,72.0,3490.0,1.0,3.0,0,TB 28,9.0,26.0,(13:10) (Shotgun) 6-B.Mayfield pass short right to 14-C.Godwin pushed ob at ARI 47 for 25 yards (5-B.Browning).,pass,25.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,7.0,18.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,B.Mayfield,25.0,C.Godwin,25.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
5,TB,ARI,47.0,3441.0,1.0,1.0,0,ARI 47,10.0,26.0,"(12:21) PENALTY on TB-87-P.Durham, False Start, 5 yards, enforced at ARI 47 - No Play.",no_play,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,TB,5.0,False Start,Punt,0.0
6,TB,TB,52.0,3428.0,1.0,1.0,0,TB 48,15.0,26.0,"(12:08) (Shotgun) 6-B.Mayfield sacked at TB 40 for -8 yards (10-J.Sweat). FUMBLES (10-J.Sweat), recovered by TB-1-R.White at TB 38. 1-R.White to TB 45 for 7 yards (3-B.Baker, 27-A.Davis-Gaither).",pass,-3.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,B.Mayfield,,,,,,,,,,,,1.0,,0.0,,,,Punt,0.0
7,TB,TB,55.0,3381.0,1.0,2.0,0,TB 45,18.0,26.0,(11:21) (Shotgun) 6-B.Mayfield pass short left to 2-E.Egbuka to ARI 47 for 8 yards (0-W.Johnson).,pass,8.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,4.0,4.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,B.Mayfield,8.0,E.Egbuka,8.0,,,,,,,,,0.0,,0.0,,,,Punt,0.0
8,TB,ARI,47.0,3342.0,1.0,3.0,0,ARI 47,10.0,26.0,(10:42) (Shotgun) 6-B.Mayfield pass incomplete short middle to 2-E.Egbuka.,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,middle,15.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.Mayfield,,E.Egbuka,,,,,,,,,,0.0,,0.0,,,,Punt,0.0
9,TB,ARI,47.0,3336.0,1.0,4.0,0,ARI 47,10.0,26.0,"(10:36) 9-R.Dixon punts 40 yards to ARI 7, Center-86-E.Deckers, downed by TB-19-K.Johnson.",punt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,40.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,R.Dixon,,0.0,ARI,0.0,,,,Punt,1.0
