,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,BUF,PIT,35.0,3600.0,1.0,,0,PIT 35,0.0,35.0,9-C.Boswell kicks 63 yards from PIT 35 to BUF 2. 26-Ty.Johnson to BUF 23 for 21 yards (41-P.Wilson; 21-C.Clark).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,63.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,C.Boswell,0.0,BUF,21.0,,,,First down,1.0
1,BUF,BUF,77.0,3594.0,1.0,1.0,0,BUF 23,10.0,35.0,(14:54) 4-J.Cook right end pushed ob at BUF 42 for 19 yards (5-J.Ramsey).,run,19.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,end,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Cook,19.0,,,,,,,0.0,,0.0,,,,First down,0.0
2,BUF,BUF,58.0,3560.0,1.0,1.0,0,BUF 42,10.0,35.0,(14:20) (Shotgun) 17-J.Allen pass incomplete short left to 10-K.Shakir.,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,-5.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Allen,,K.Shakir,,,,,,,,,,0.0,,0.0,,,,First down,0.0
3,BUF,BUF,58.0,3556.0,1.0,2.0,0,BUF 42,10.0,35.0,(14:16) 4-J.Cook up the middle to BUF 44 for 2 yards (94-Y.Black).,run,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Cook,2.0,,,,,,,0.0,,0.0,,,,First down,0.0
4,BUF,BUF,56.0,3516.0,1.0,3.0,0,BUF 44,8.0,35.0,(13:36) (Shotgun) 17-J.Allen pass short right to 18-B.Cooks to PIT 43 for 13 yards (42-J.Pierre) [6-P.Queen].,pass,13.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,13.0,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.Allen,13.0,B.Cooks,13.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
5,BUF,PIT,43.0,3476.0,1.0,1.0,0,PIT 43,10.0,35.0,"(12:56) 4-J.Cook right tackle to PIT 42 for 1 yard (94-Y.Black; 90-T.Watt). FUMBLES (94-Y.Black), and recovers at PIT 42.",run,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,J.Cook,1.0,,,,,,,0.0,,0.0,,,,Turnover,0.0
6,BUF,PIT,42.0,3438.0,1.0,2.0,0,PIT 42,9.0,35.0,"(12:18) PENALTY on BUF-70-A.Anderson, False Start, 5 yards, enforced at PIT 42 - No Play.",no_play,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,BUF,5.0,False Start,Turnover,0.0
7,BUF,PIT,47.0,3419.0,1.0,2.0,0,PIT 47,14.0,35.0,(11:59) (Shotgun) 4-J.Cook left end to PIT 42 for 5 yards (6-P.Queen; 41-P.Wilson).,run,5.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,J.Cook,5.0,,,,,,,0.0,,0.0,,,,Turnover,0.0
8,BUF,PIT,42.0,3377.0,1.0,3.0,0,PIT 42,9.0,35.0,(11:17) (Shotgun) 17-J.Allen pass short right intended for 13-G.Davis INTERCEPTED by 26-B.Echols at PIT 35. 26-B.Echols to PIT 35 for no gain (13-G.Davis).,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,7.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Allen,,G.Davis,,,,,,,,,,0.0,PIT,0.0,,,,Turnover,0.0
9,PIT,PIT,65.0,3371.0,2.0,1.0,0,PIT 35,10.0,12.0,(11:11) (Shotgun) 74-S.Anderson reported in as eligible. 8-A.Rodgers pass short left to 4-D.Metcalf to PIT 43 for 8 yards (21-J.Poyer).,pass,8.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,-1.0,9.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,A.Rodgers,8.0,D.Metcalf,8.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
