,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,CHI,GB,35.0,3600.0,1.0,,0,GB 35,0.0,-5.0,17-B.McManus kicks 61 yards from GB 35 to CHI 4. 12-D.Duvernay to CHI 28 for 24 yards (58-I.McDuffie).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,61.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,B.McManus,0.0,CHI,24.0,,,,Punt,1.0
1,CHI,CHI,72.0,3596.0,1.0,1.0,0,CHI 28,10.0,-5.0,(14:56) (Shotgun) 4-D.Swift up the middle to CHI 33 for 5 yards (52-R.Gary).,run,5.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,D.Swift,5.0,,,,,,,0.0,,0.0,,,,Punt,0.0
2,CHI,CHI,67.0,3562.0,1.0,2.0,0,CHI 33,5.0,-5.0,(14:22) 18-C.Williams pass incomplete short left to 10-L.Burden.,pass,0.0,0.0,0.0,1.0,0.0,0.0,0.0,short,left,10.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C.Williams,,L.Burden,,,,,,,,,,0.0,,0.0,,,,Punt,0.0
3,CHI,CHI,67.0,3559.0,1.0,3.0,0,CHI 33,5.0,-5.0,"(14:19) (Shotgun) 18-C.Williams scrambles right tackle to CHI 39 for 6 yards (25-K.Nixon). PENALTY on CHI-58-D.Wright, Offensive Holding, 10 yards, enforced at CHI 33 - No Play.",no_play,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,CHI,10.0,Offensive Holding,Punt,0.0
4,CHI,CHI,77.0,3538.0,1.0,3.0,0,CHI 23,15.0,-5.0,(13:58) (Shotgun) 18-C.Williams pass incomplete deep middle to 2-D.Moore.,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,deep,middle,32.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C.Williams,,D.Moore,,,,,,,,,,0.0,,0.0,,,,Punt,0.0
5,CHI,CHI,77.0,3533.0,1.0,4.0,0,CHI 23,15.0,-5.0,"(13:53) 19-T.Taylor punts 63 yards to GB 14, Center-46-S.Daly. 87-R.Doubs to GB 31 for 17 yards (44-N.Sewell). PENALTY on GB-16-B.Melton, Illegal Block Above the Waist, 10 yards, enforced at GB 21.",punt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,63.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,T.Taylor,,0.0,GB,7.0,GB,10.0,Illegal Block Above the Waist,Punt,1.0
6,GB,GB,89.0,3522.0,2.0,1.0,0,GB 11,10.0,37.0,(13:42) 10-J.Love pass short left to 11-J.Reed pushed ob at GB 16 for 5 yards (31-K.Byard).,pass,5.0,0.0,0.0,1.0,0.0,0.0,0.0,short,left,5.0,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.Love,5.0,J.Reed,5.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
7,GB,GB,84.0,3486.0,2.0,2.0,0,GB 16,5.0,37.0,(13:06) 8-J.Jacobs right tackle to GB 26 for 10 yards (1-J.Johnson; 35-C.Gardner-Johnson).,run,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,J.Jacobs,10.0,,,,,,,0.0,,0.0,,,,First down,0.0
8,GB,GB,74.0,3444.0,2.0,1.0,0,GB 26,10.0,37.0,(12:24) 8-J.Jacobs right guard to GB 26 for no gain (94-A.Booker).,run,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Jacobs,0.0,,,,,,,0.0,,0.0,,,,First down,0.0
9,GB,GB,74.0,3405.0,2.0,2.0,0,GB 26,10.0,37.0,(11:45) (Shotgun) 10-J.Love pass short right to 88-L.Musgrave to GB 36 for 10 yards (35-C.Gardner-Johnson).,pass,10.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,10.0,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.Love,10.0,L.Musgrave,10.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
