,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,TEN,CLE,35.0,3600.0,1.0,,0,CLE 35,0.0,53.0,25-A.Szmyt kicks 59 yards from CLE 35 to TEN 6. 17-C.Dike ran ob at TEN 47 for 41 yards (49-C.Schwesinger; 25-A.Szmyt).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,59.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,A.Szmyt,0.0,TEN,41.0,,,,First down,1.0
1,TEN,TEN,53.0,3594.0,1.0,1.0,0,TEN 47,10.0,53.0,"(14:54) 20-T.Pollard right tackle to TEN 46 for -1 yards (94-M.Graham, 93-S.Harris).",run,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,T.Pollard,-1.0,,,,,,,1.0,,0.0,,,,First down,0.0
2,TEN,TEN,54.0,3554.0,1.0,2.0,0,TEN 46,11.0,53.0,(14:14) (Shotgun) 1-C.Ward pass short left to 17-C.Dike to TEN 47 for 1 yard (21-D.Ward).,pass,1.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,-2.0,3.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,C.Ward,1.0,C.Dike,1.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
3,TEN,TEN,53.0,3512.0,1.0,3.0,0,TEN 47,10.0,53.0,(13:32) (Shotgun) 1-C.Ward pass short left to 2-T.Spears to CLE 29 for 24 yards (33-R.Hickman).,pass,24.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,-2.0,26.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,C.Ward,24.0,T.Spears,24.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
4,TEN,CLE,29.0,3468.0,1.0,1.0,0,CLE 29,10.0,53.0,(12:48) 20-T.Pollard left tackle to CLE 27 for 2 yards (7-T.Campbell).,run,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,T.Pollard,2.0,,,,,,,0.0,,0.0,,,,First down,0.0
5,TEN,CLE,27.0,3427.0,1.0,2.0,0,CLE 27,8.0,53.0,(12:07) (Shotgun) 20-T.Pollard up the middle to CLE 25 for 2 yards (93-S.Harris; 51-M.Hall).,run,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,T.Pollard,2.0,,,,,,,0.0,,0.0,,,,First down,0.0
6,TEN,CLE,25.0,3383.0,1.0,3.0,0,CLE 25,6.0,53.0,(11:23) (Shotgun) 1-C.Ward pass short left to 85-C.Okonkwo to CLE 16 for 9 yards (7-T.Campbell).,pass,9.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,4.0,5.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,C.Ward,9.0,C.Okonkwo,9.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
7,TEN,CLE,16.0,3341.0,1.0,1.0,0,CLE 16,10.0,53.0,(10:41) (Shotgun) 1-C.Ward right tackle to CLE 14 for 2 yards (49-C.Schwesinger).,run,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,right,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,C.Ward,2.0,,,,,,,0.0,,0.0,,,,Touchdown,0.0
8,TEN,CLE,14.0,3298.0,1.0,2.0,0,CLE 14,8.0,53.0,"(9:58) 72-O.Udoh reported in as eligible. 1-C.Ward pass short left to 5-E.Ayomanor for 14 yards, TOUCHDOWN.",pass,14.0,0.0,0.0,1.0,0.0,0.0,0.0,short,left,11.0,3.0,,,,,,,0.0,,TEN,E.Ayomanor,0.0,6.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,C.Ward,14.0,E.Ayomanor,14.0,,,,,,,,,0.0,,0.0,,,,Touchdown,0.0
9,TEN,CLE,15.0,3292.0,1.0,,0,CLE 15,0.0,53.0,"6-J.Slye extra point is GOOD, Center-46-M.Cox, Holder-3-J.Hekker.",extra_point,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,33.0,good,,0.0,,,,0.0,7.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,J.Slye,0.0,,0.0,,,,Touchdown,1.0
10,CLE,TEN,35.0,3292.0,2.0,,0,TEN 35,0.0,-8.0,6-J.Slye kicks 65 yards from TEN 35 to CLE 0. 34-J.Ford to CLE 15 for 15 yards (21-M.Robinson; 54-D.Mausi).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,65.0,,,0.0,,,,0.0,7.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,J.Slye,0.0,CLE,15.0,,,,Punt,1.0
11,CLE,CLE,85.0,3282.0,2.0,1.0,0,CLE 15,10.0,-8.0,"(9:42) 10-Q.Judkins right end to CLE 11 for -4 yards (23-K.Winston, 49-A.Key).",run,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,end,,,,,0.0,,,,0.0,7.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,Q.Judkins,-4.0,,,,,,,1.0,,0.0,,,,Punt,0.0
12,CLE,CLE,89.0,3240.0,2.0,2.0,0,CLE 11,14.0,-8.0,(9:00) 10-Q.Judkins up the middle to CLE 14 for 3 yards (53-J.Ward).,run,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,7.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Q.Judkins,3.0,,,,,,,0.0,,0.0,,,,Punt,0.0
13,CLE,CLE,86.0,3198.0,2.0,3.0,0,CLE 14,11.0,-8.0,(8:18) (Shotgun) 12-S.Sanders sacked at CLE 12 for -2 yards (sack split by 92-J.Harrell and 98-J.Simmons).,pass,-2.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,7.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,S.Sanders,,,,,,,,,,,,0.0,,0.0,,,,Punt,0.0
14,CLE,CLE,88.0,3153.0,2.0,4.0,0,CLE 12,13.0,-8.0,"(7:33) (Punt formation) PENALTY on CLE-43-M.Diabate, False Start, 5 yards, enforced at CLE 12 - No Play.",no_play,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,7.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,CLE,5.0,False Start,Punt,0.0
15,CLE,CLE,93.0,3139.0,2.0,4.0,0,CLE 7,18.0,-8.0,"(7:19) 13-C.Bojorquez punts 39 yards to CLE 46, Center-50-R.Sunahara, downed by CLE-31-D.McMillon.",punt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,39.0,,,0.0,,,,0.0,7.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,C.Bojorquez,,0.0,TEN,0.0,,,,Punt,1.0
16,TEN,CLE,46.0,3127.0,3.0,1.0,0,CLE 46,10.0,22.0,(7:07) (Shotgun) 20-T.Pollard right tackle to CLE 38 for 8 yards (49-C.Schwesinger; 9-G.Delpit).,run,8.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,right,tackle,,,,,0.0,,,,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,T.Pollard,8.0,,,,,,,0.0,,0.0,,,,First down,0.0
17,TEN,CLE,38.0,3089.0,3.0,2.0,0,CLE 38,2.0,22.0,(6:29) 1-C.Ward pass incomplete short right.,pass,0.0,0.0,0.0,1.0,0.0,0.0,0.0,short,right,-4.0,,,,,,,,0.0,,,,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C.Ward,,,,,,,,,,,,0.0,,0.0,,,,First down,0.0
18,TEN,CLE,38.0,3082.0,3.0,3.0,0,CLE 38,2.0,22.0,"(6:22) (Shotgun) 2-T.Spears left end to CLE 35 for 3 yards (7-T.Campbell; 26-M.Harden). Cleveland challenged the backward pass ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1.)",run,3.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,,,,,1.0,CLE,,,0.0,7.0,7.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,T.Spears,3.0,,,,,,,0.0,,0.0,,,,First down,0.0
19,TEN,CLE,35.0,3059.0,3.0,1.0,0,CLE 35,10.0,22.0,(5:59) 72-O.Udoh reported in as eligible. 20-T.Pollard left end to CLE 28 for 7 yards (30-D.Bush).,run,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,,,,,0.0,,,,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,T.Pollard,7.0,,,,,,,0.0,,0.0,,,,First down,0.0
