,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,MIN,WAS,35.0,3600.0,1.0,,0,WAS 35,0.0,61.0,16-J.Moody kicks 61 yards from WAS 35 to MIN 4. 4-M.Price to MIN 39 for 35 yards (0-M.Sainristil).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,61.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,J.Moody,0.0,MIN,35.0,,,,First down,1.0
1,MIN,MIN,61.0,3594.0,1.0,1.0,0,MIN 39,10.0,61.0,(14:54) 33-A.Jones right tackle to MIN 42 for 3 yards (55-J.Martin; 54-B.Wagner).,run,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,A.Jones,3.0,,,,,,,0.0,,0.0,,,,First down,0.0
2,MIN,MIN,58.0,3556.0,1.0,2.0,0,MIN 42,7.0,61.0,(14:16) (Shotgun) 9-J.McCarthy pass short right to 89-B.Sims to WAS 49 for 9 yards (4-F.Luvu).,pass,9.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,4.0,5.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.McCarthy,9.0,B.Sims,9.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
3,MIN,WAS,49.0,3519.0,1.0,1.0,0,WAS 49,10.0,61.0,(13:39) 33-A.Jones up the middle to WAS 42 for 7 yards (54-B.Wagner; 20-Q.Martin).,run,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,A.Jones,7.0,,,,,,,0.0,,0.0,,,,First down,0.0
4,MIN,WAS,42.0,3482.0,1.0,2.0,0,WAS 42,3.0,61.0,(13:02) (Shotgun) 9-J.McCarthy pass short left to 87-T.Hockenson pushed ob at WAS 32 for 10 yards (6-N.Igbinoghene).,pass,10.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,5.0,5.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.McCarthy,10.0,T.Hockenson,10.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
5,MIN,WAS,32.0,3448.0,1.0,1.0,0,WAS 32,10.0,61.0,(12:28) (Shotgun) 9-J.McCarthy pass short middle to 1-J.Nailor to WAS 23 for 9 yards (0-M.Sainristil; 54-B.Wagner).,pass,9.0,1.0,0.0,1.0,0.0,0.0,0.0,short,middle,-3.0,12.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,J.McCarthy,9.0,J.Nailor,9.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
6,MIN,WAS,23.0,3406.0,1.0,2.0,0,WAS 23,1.0,61.0,(11:46) 33-A.Jones left guard to WAS 18 for 5 yards (20-Q.Martin).,run,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,A.Jones,5.0,,,,,,,0.0,,0.0,,,,First down,0.0
7,MIN,WAS,18.0,3367.0,1.0,1.0,0,WAS 18,10.0,61.0,"(11:07) (Shotgun) 9-J.McCarthy pass deep left to 84-J.Oliver for 18 yards, TOUCHDOWN.",pass,18.0,1.0,0.0,1.0,0.0,0.0,0.0,deep,left,16.0,2.0,,,,,,,0.0,,MIN,J.Oliver,6.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.McCarthy,18.0,J.Oliver,18.0,,,,,,,,,0.0,,0.0,,,,Touchdown,0.0
8,MIN,WAS,15.0,3363.0,1.0,,0,WAS 15,0.0,61.0,"16-W.Reichard extra point is GOOD, Center-42-A.DePaola, Holder-17-R.Wright.",extra_point,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,33.0,good,,0.0,,,,7.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,W.Reichard,0.0,,0.0,,,,Touchdown,1.0
9,WAS,MIN,35.0,3363.0,2.0,,0,MIN 35,0.0,83.0,"16-W.Reichard kicks 64 yards from MIN 35 to WAS 1. 1-D.Samuel to WAS 41 for 40 yards (56-A.Keys; 36-Z.Scott). PENALTY on WAS-35-P.Butler, Offensive Holding, 10 yards, enforced at WAS 25.",kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,64.0,,,0.0,,,,7.0,0.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,W.Reichard,0.0,WAS,24.0,WAS,10.0,Offensive Holding,First down,1.0
10,WAS,WAS,85.0,3352.0,2.0,1.0,0,WAS 15,10.0,83.0,(10:52) (Shotgun) 36-C.Rodriguez left tackle to WAS 19 for 4 yards (55-E.Wilson; 43-A.Van Ginkel).,run,4.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,left,tackle,,,,,0.0,,,,7.0,0.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,C.Rodriguez,4.0,,,,,,,0.0,,0.0,,,,First down,0.0
11,WAS,WAS,81.0,3318.0,2.0,2.0,0,WAS 19,6.0,83.0,"(10:18) (No Huddle, Shotgun) 5-J.Daniels pass deep left to 17-T.McLaurin to WAS 47 for 28 yards (24-J.Ward) [93-J.Allen].",pass,28.0,1.0,1.0,1.0,0.0,0.0,0.0,deep,left,20.0,8.0,,,,,,,0.0,,,,7.0,0.0,-7.0,-7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.Daniels,28.0,T.McLaurin,28.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
12,WAS,WAS,53.0,3286.0,2.0,1.0,0,WAS 47,10.0,83.0,"(9:46) (No Huddle, Shotgun) 5-J.Daniels pass short right to 1-D.Samuel to WAS 49 for 2 yards (43-A.Van Ginkel).",pass,2.0,1.0,1.0,1.0,0.0,0.0,0.0,short,right,-4.0,6.0,,,,,,,0.0,,,,7.0,0.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.Daniels,2.0,D.Samuel,2.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
13,WAS,WAS,51.0,3246.0,2.0,2.0,0,WAS 49,8.0,83.0,(9:06) (No Huddle) 36-C.Rodriguez right tackle to MIN 41 for 10 yards (44-J.Metellus; 51-B.Cashman).,run,10.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,right,tackle,,,,,0.0,,,,7.0,0.0,-7.0,-7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,C.Rodriguez,10.0,,,,,,,0.0,,0.0,,,,First down,0.0
14,WAS,MIN,41.0,3210.0,2.0,1.0,0,MIN 41,10.0,83.0,"(8:30) (No Huddle, Shotgun) 5-J.Daniels pass incomplete short left to 80-C.Yankoff.",pass,0.0,1.0,1.0,1.0,0.0,0.0,0.0,short,left,4.0,,,,,,,,0.0,,,,7.0,0.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Daniels,,C.Yankoff,,,,,,,,,,0.0,,0.0,,,,First down,0.0
15,WAS,MIN,41.0,3207.0,2.0,2.0,0,MIN 41,10.0,83.0,"(8:27) (No Huddle, Shotgun) 5-J.Daniels pass short left to 82-B.Sinnott to MIN 33 for 8 yards (7-B.Murphy; 51-B.Cashman).",pass,8.0,1.0,1.0,1.0,0.0,0.0,0.0,short,left,0.0,8.0,,,,,,,0.0,,,,7.0,0.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,J.Daniels,8.0,B.Sinnott,8.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
16,WAS,MIN,33.0,3166.0,2.0,3.0,0,MIN 33,2.0,83.0,"(7:46) (No Huddle, Shotgun) 5-J.Daniels scrambles right end to MIN 31 for 2 yards (51-B.Cashman).",run,2.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,right,end,,,,,0.0,,,,7.0,0.0,-7.0,-7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Daniels,2.0,,,,,,,0.0,,0.0,,,,First down,0.0
17,WAS,MIN,31.0,3125.0,2.0,1.0,0,MIN 31,10.0,83.0,"(7:05) (No Huddle, Shotgun) 26-J.McNichols right guard to MIN 23 for 8 yards (44-J.Metellus; 22-H.Smith). PENALTY on WAS-87-J.Bates, Offensive Holding, 10 yards, enforced at MIN 31 - No Play.",no_play,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,7.0,0.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,WAS,10.0,Offensive Holding,First down,0.0
18,WAS,MIN,41.0,3107.0,2.0,1.0,0,MIN 41,20.0,83.0,"(6:47) (No Huddle, Shotgun) 5-J.Daniels pass short right to 26-J.McNichols to MIN 39 for 2 yards (51-B.Cashman; 61-J.Redmond).",pass,2.0,1.0,1.0,1.0,0.0,0.0,0.0,short,right,-6.0,8.0,,,,,,,0.0,,,,7.0,0.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,J.Daniels,2.0,J.McNichols,2.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
