,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,TEN,SF,35.0,3600.0,1.0,,0,SF 35,0.0,4.0,18-E.Pineiro kicks 62 yards from SF 35 to TEN 3. 17-C.Dike to TEN 30 for 27 yards (26-C.Lucas; 51-R.Beal). SF-26-C.Lucas was injured during the play.,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,62.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,E.Pineiro,0.0,TEN,27.0,,,,Punt,1.0
1,TEN,TEN,70.0,3594.0,1.0,1.0,0,TEN 30,10.0,4.0,(14:54) (Shotgun) 1-C.Ward pass incomplete short left to 20-T.Pollard.,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,1.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C.Ward,,T.Pollard,,,,,,,,,,0.0,,0.0,,,,Punt,0.0
2,TEN,TEN,70.0,3591.0,1.0,2.0,0,TEN 30,10.0,4.0,(14:51) 20-T.Pollard left guard to TEN 34 for 4 yards (47-B.Huff; 53-D.Winters).,run,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,T.Pollard,4.0,,,,,,,0.0,,0.0,,,,Punt,0.0
3,TEN,TEN,66.0,3547.0,1.0,3.0,0,TEN 34,6.0,4.0,(14:07) (Shotgun) 1-C.Ward pass incomplete short right [56-K.White].,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,11.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C.Ward,,,,,,,,,,,,0.0,,0.0,,,,Punt,0.0
4,TEN,TEN,66.0,3539.0,1.0,4.0,0,TEN 34,6.0,4.0,"(13:59) 3-J.Hekker punts 36 yards to SF 30, Center-46-M.Cox, out of bounds.",punt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,36.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,J.Hekker,,0.0,SF,0.0,,,,Punt,1.0
5,SF,SF,70.0,3531.0,2.0,1.0,0,SF 30,10.0,70.0,(13:51) (Shotgun) 13-B.Purdy pass short left to 1-R.Pearsall to SF 38 for 8 yards (23-K.Winston).,pass,8.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,4.0,4.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,B.Purdy,8.0,R.Pearsall,8.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
6,SF,SF,62.0,3500.0,2.0,2.0,0,SF 38,2.0,70.0,"(13:20) (No Huddle, Shotgun) 13-B.Purdy pass short right to 85-G.Kittle to SF 47 for 9 yards (37-A.Hooker; 50-C.Barton).",pass,9.0,1.0,1.0,1.0,0.0,0.0,0.0,short,right,8.0,1.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,B.Purdy,9.0,G.Kittle,9.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
7,SF,SF,53.0,3475.0,2.0,1.0,0,SF 47,10.0,70.0,(12:55) (No Huddle) 13-B.Purdy pass short left to 85-G.Kittle to TEN 30 for 23 yards (37-A.Hooker).,pass,23.0,0.0,1.0,1.0,0.0,0.0,0.0,short,left,1.0,22.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,B.Purdy,23.0,G.Kittle,23.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
8,SF,TEN,30.0,3452.0,2.0,1.0,0,TEN 30,10.0,70.0,(12:32) (No Huddle) 13-B.Purdy scrambles right end to TEN 26 for 4 yards (33-C.Gray; 53-J.Ward).,run,4.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,,right,end,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,B.Purdy,4.0,,,,,,,0.0,,0.0,,,,First down,0.0
9,SF,TEN,26.0,3426.0,2.0,2.0,0,TEN 26,6.0,70.0,(12:06) (No Huddle) 23-C.McCaffrey left guard to TEN 21 for 5 yards (33-C.Gray).,run,5.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,left,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,C.McCaffrey,5.0,,,,,,,0.0,,0.0,,,,First down,0.0
