,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,MIN,NYG,35.0,3600.0,1.0,,0,NYG 35,0.0,35.0,"30-B.Sauls kicks 60 yards from NYG 35 to MIN 5, out of bounds. PENALTY on NYG-30-B.Sauls, Kickoff Out of Bounds, placed at MIN 40.",kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,25.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,B.Sauls,0.0,MIN,0.0,NYG,0.0,Kickoff Out of Bounds,First down,1.0
1,MIN,MIN,60.0,3600.0,1.0,1.0,0,MIN 40,10.0,35.0,(15:00) (Shotgun) 9-J.McCarthy pass incomplete short right to 33-A.Jones (27-T.Nubin).,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,-7.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.McCarthy,,A.Jones,,,,,,,,,,0.0,,0.0,,,,First down,0.0
2,MIN,MIN,60.0,3596.0,1.0,2.0,0,MIN 40,10.0,35.0,(14:56) 33-A.Jones right tackle to MIN 39 for -1 yards (57-C.Golston).,run,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,A.Jones,-1.0,,,,,,,0.0,,0.0,,,,First down,0.0
3,MIN,MIN,61.0,3555.0,1.0,3.0,0,MIN 39,11.0,35.0,(14:15) (Shotgun) 9-J.McCarthy pass short middle to 18-J.Jefferson pushed ob at NYG 48 for 13 yards (8-J.Holland).,pass,13.0,1.0,0.0,1.0,0.0,0.0,0.0,short,middle,2.0,11.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.McCarthy,13.0,J.Jefferson,13.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
4,MIN,NYG,48.0,3514.0,1.0,1.0,0,NYG 48,10.0,35.0,(13:34) 27-J.Mason left end to NYG 43 for 5 yards (27-T.Nubin).,run,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Mason,5.0,,,,,,,0.0,,0.0,,,,First down,0.0
5,MIN,NYG,43.0,3475.0,1.0,2.0,0,NYG 43,5.0,35.0,(12:55) (Shotgun) 9-J.McCarthy pass short left to 84-J.Oliver pushed ob at NYG 31 for 12 yards (27-T.Nubin).,pass,12.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,-4.0,16.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.McCarthy,12.0,J.Oliver,12.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
6,MIN,NYG,31.0,3437.0,1.0,1.0,0,NYG 31,10.0,35.0,(12:17) 27-J.Mason up the middle to NYG 31 for no gain (57-C.Golston).,run,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,middle,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Mason,0.0,,,,,,,0.0,,0.0,,,,Field goal,0.0
7,MIN,NYG,31.0,3394.0,1.0,2.0,0,NYG 31,10.0,35.0,(11:34) (Shotgun) 9-J.McCarthy pass short right to 27-J.Mason to NYG 25 for 6 yards (22-A.Phillips; 58-B.Okereke) [51-A.Carter]. MIN-27-J.Mason was injured during the play.,pass,6.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,-4.0,10.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,J.McCarthy,6.0,J.Mason,6.0,,,,,,,,,0.0,,0.0,,,,Field goal,0.0
8,MIN,NYG,25.0,3359.0,1.0,3.0,0,NYG 25,4.0,35.0,"(10:59) (Shotgun) 9-J.McCarthy pass incomplete deep left to 3-J.Addison (97-D.Lawrence, 28-C.Flott) [97-D.Lawrence].",pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,deep,left,25.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.McCarthy,,J.Addison,,,,,,,,,,0.0,,0.0,,,,Field goal,0.0
9,MIN,NYG,25.0,3354.0,1.0,4.0,0,NYG 25,4.0,35.0,"(10:54) 16-W.Reichard 43 yard field goal is GOOD, Center-42-A.DePaola, Holder-17-R.Wright.",field_goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,made,43.0,,,0.0,,,,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,W.Reichard,0.0,,0.0,,,,Field goal,0.0
