,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,DET,PIT,35.0,3600.0,1.0,,0,PIT 35,0.0,-1.0,9-C.Boswell kicks 63 yards from PIT 35 to DET 2. 25-J.Saylors to DET 28 for 26 yards (41-P.Wilson).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,63.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,C.Boswell,0.0,DET,26.0,,,,Punt,1.0
1,DET,DET,72.0,3596.0,1.0,1.0,0,DET 28,10.0,-1.0,(14:56) (Shotgun) 16-J.Goff pass short right to 14-A.St. Brown pushed ob at DET 35 for 7 yards (24-J.Porter).,pass,7.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,6.0,1.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.Goff,7.0,A.St. Brown,7.0,,,,,,,,,0.0,,0.0,,,,Punt,0.0
2,DET,DET,65.0,3569.0,1.0,2.0,0,DET 35,3.0,-1.0,(14:29) 16-J.Goff sacked at DET 27 for -8 yards (95-K.Benton).,pass,-8.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Goff,,,,,,,,,,,,0.0,,0.0,,,,Punt,0.0
3,DET,DET,73.0,3530.0,1.0,3.0,0,DET 27,11.0,-1.0,(13:50) (Shotgun) 16-J.Goff pass short left to 0-J.Gibbs to DET 27 for no gain (26-B.Echols).,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,-4.0,4.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.Goff,0.0,J.Gibbs,0.0,,,,,,,,,0.0,,0.0,,,,Punt,0.0
4,DET,DET,73.0,3497.0,1.0,4.0,0,DET 27,11.0,-1.0,"(13:17) 3-J.Fox punts 53 yards to PIT 20, Center-49-H.Hatten. 19-C.Austin pushed ob at PIT 29 for 9 yards (84-S.Zylstra).",punt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,53.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,J.Fox,,0.0,PIT,9.0,,,,Punt,1.0
5,PIT,PIT,71.0,3488.0,2.0,1.0,0,PIT 29,10.0,30.0,(13:08) 8-A.Rodgers pass incomplete short right to 4-D.Metcalf (23-R.Ya-Sin).,pass,0.0,0.0,0.0,1.0,0.0,0.0,0.0,short,right,11.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A.Rodgers,,D.Metcalf,,,,,,,,,,0.0,,0.0,,,,First down,0.0
6,PIT,PIT,71.0,3482.0,2.0,2.0,0,PIT 29,10.0,30.0,(13:02) (Shotgun) 30-J.Warren right tackle to PIT 40 for 11 yards (46-J.Campbell).,run,11.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,right,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Warren,11.0,,,,,,,0.0,,0.0,,,,First down,0.0
7,PIT,PIT,60.0,3443.0,2.0,1.0,0,PIT 40,10.0,30.0,(12:23) 74-S.Anderson reported in as eligible. 8-A.Rodgers pass incomplete short right to 80-D.Washington.,pass,0.0,0.0,0.0,1.0,0.0,0.0,0.0,short,right,2.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A.Rodgers,,D.Washington,,,,,,,,,,0.0,,0.0,,,,First down,0.0
8,PIT,PIT,60.0,3436.0,2.0,2.0,0,PIT 40,10.0,30.0,(12:16) (Shotgun) 8-A.Rodgers pass short right to 4-D.Metcalf pushed ob at PIT 45 for 5 yards (34-A.Anzalone).,pass,5.0,1.0,0.0,1.0,0.0,0.0,0.0,short,right,-3.0,8.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,A.Rodgers,5.0,D.Metcalf,5.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
9,PIT,PIT,55.0,3400.0,2.0,3.0,0,PIT 45,5.0,30.0,(11:40) (Shotgun) 8-A.Rodgers pass short middle to 80-D.Washington to DET 37 for 18 yards (38-N.Whiteside).,pass,18.0,1.0,0.0,1.0,0.0,0.0,0.0,short,middle,12.0,6.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,A.Rodgers,18.0,D.Washington,18.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
