,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,NYG,DAL,35.0,3600.0,1.0,,0,DAL 35,0.0,11.0,"17-B.Aubrey kicks 34 yards from DAL 35 to NYG 31, short of landing zone. PENALTY on DAL-17-B.Aubrey, Kickoff Short of Landing Zone, placed at NYG 40.",kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,25.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,B.Aubrey,0.0,,0.0,DAL,0.0,Kickoff Short of Landing Zone,First down,1.0
1,NYG,NYG,60.0,3600.0,1.0,1.0,0,NYG 40,10.0,11.0,(15:00) 29-T.Tracy left guard to NYG 43 for 3 yards (92-Q.Williams; 41-D.Ezeiruaku).,run,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,T.Tracy,3.0,,,,,,,0.0,,0.0,,,,First down,0.0
2,NYG,NYG,57.0,3573.0,1.0,2.0,0,NYG 43,7.0,11.0,"(14:33) (No Huddle, Shotgun) 6-J.Dart pass short left to 18-D.Slayton to NYG 48 for 5 yards (6-D.Wilson).",pass,5.0,1.0,1.0,1.0,0.0,0.0,0.0,short,left,5.0,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.Dart,5.0,D.Slayton,5.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
3,NYG,NYG,52.0,3537.0,1.0,3.0,0,NYG 48,2.0,11.0,(13:57) (Shotgun) 6-J.Dart pass short left to 29-T.Tracy to DAL 48 for 4 yards (50-S.James; 25-T.Bridges).,pass,4.0,1.0,0.0,1.0,0.0,0.0,0.0,short,left,-2.0,6.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,J.Dart,4.0,T.Tracy,4.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
4,NYG,DAL,48.0,3506.0,1.0,1.0,0,DAL 48,10.0,11.0,"(13:26) (No Huddle, Shotgun) 6-J.Dart pass incomplete short middle to 18-D.Slayton (42-J.Clowney).",pass,0.0,1.0,1.0,1.0,0.0,0.0,0.0,short,middle,-11.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Dart,,D.Slayton,,,,,,,,,,0.0,,0.0,,,,Punt,0.0
5,NYG,DAL,48.0,3501.0,1.0,2.0,0,DAL 48,10.0,11.0,"(13:21) (Shotgun) 29-T.Tracy left guard to DAL 49 for -1 yards (42-J.Clowney, 28-M.Hooker).",run,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,left,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,T.Tracy,-1.0,,,,,,,1.0,,0.0,,,,Punt,0.0
6,NYG,DAL,49.0,3464.0,1.0,3.0,0,DAL 49,11.0,11.0,(12:44) (Shotgun) 6-J.Dart pass incomplete deep right to 80-G.Olszewski.,pass,0.0,1.0,0.0,1.0,0.0,0.0,0.0,deep,right,31.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Dart,,G.Olszewski,,,,,,,,,,0.0,,0.0,,,,Punt,0.0
7,NYG,DAL,49.0,3459.0,1.0,4.0,0,DAL 49,11.0,11.0,"(12:39) 12-J.Gillan punts 48 yards to DAL 1, Center-59-C.Kreiter, downed by NYG-23-A.Green.",punt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,48.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,J.Gillan,,0.0,DAL,0.0,,,,Punt,1.0
8,DAL,DAL,99.0,3448.0,2.0,1.0,0,DAL 1,10.0,27.0,(12:28) (Shotgun) 4-D.Prescott pass short middle to 3-G.Pickens to DAL 10 for 9 yards (2-D.Banks; 58-B.Okereke).,pass,9.0,1.0,0.0,1.0,0.0,0.0,0.0,short,middle,6.0,3.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,D.Prescott,9.0,G.Pickens,9.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
9,DAL,DAL,90.0,3415.0,2.0,2.0,0,DAL 10,1.0,27.0,(11:55) 40-H.Luepke right guard to DAL 19 for 9 yards (24-D.Belton; 21-P.Adebo).,run,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,H.Luepke,9.0,,,,,,,0.0,,0.0,,,,First down,0.0
