,posteam,side_of_field,yardline_100,game_seconds_remaining,drive,down,goal_to_go,yrdln,ydstogo,ydsnet,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,timeout,timeout_team,td_team,td_player_name,total_home_score,total_away_score,score_differential,score_differential_post,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,touchback,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,passing_yards,receiver_player_name,receiving_yards,rusher_player_name,rushing_yards,lateral_receiver_player_name,lateral_receiving_yards,lateral_rusher_player_name,lateral_rushing_yards,punter_player_name,kicker_player_name,tackle_with_assist,return_team,return_yards,penalty_team,penalty_yards,penalty_type,series_result,special_teams_play
0,MIN,GB,35.0,3600.0,1.0,,0,GB 35,0.0,46.0,17-B.McManus kicks 65 yards from GB 35 to MIN 0. 13-T.Felton to MIN 29 for 29 yards (34-S.Bartholomew).,kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,65.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,B.McManus,0.0,MIN,29.0,,,,First down,1.0
1,MIN,MIN,71.0,3595.0,1.0,1.0,0,MIN 29,10.0,46.0,(14:55) 27-J.Mason right end to MIN 42 for 13 yards (59-T.Hopper).,run,13.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,right,end,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Mason,13.0,,,,,,,0.0,,0.0,,,,First down,0.0
2,MIN,MIN,58.0,3556.0,1.0,1.0,0,MIN 42,10.0,46.0,(14:16) 9-J.McCarthy pass deep left to 18-J.Jefferson to GB 40 for 18 yards (37-J.Baldwin) [91-W.Brinson].,pass,18.0,0.0,0.0,1.0,0.0,0.0,0.0,deep,left,18.0,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.McCarthy,18.0,J.Jefferson,18.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
3,MIN,GB,40.0,3519.0,1.0,1.0,0,GB 40,10.0,46.0,(13:39) 27-J.Mason left guard to GB 39 for 1 yard (27-K.Oladapo).,run,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,left,guard,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.Mason,1.0,,,,,,,0.0,,0.0,,,,First down,0.0
4,MIN,GB,39.0,3482.0,1.0,2.0,0,GB 39,9.0,46.0,(13:02) (Shotgun) 9-J.McCarthy pass short middle to 18-J.Jefferson to GB 29 for 10 yards (33-E.Williams; 48-J.Johnson).,pass,10.0,1.0,0.0,1.0,0.0,0.0,0.0,short,middle,-4.0,14.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,J.McCarthy,10.0,J.Jefferson,10.0,,,,,,,,,0.0,,0.0,,,,First down,0.0
5,MIN,GB,29.0,3439.0,1.0,1.0,0,GB 29,10.0,46.0,"(12:19) 9-J.McCarthy scrambles right tackle pushed ob at GB 23 for 6 yards (25-K.Nixon). PENALTY on MIN-9-J.McCarthy, Taunting, 15 yards, enforced at GB 23.",run,6.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,right,tackle,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,J.McCarthy,6.0,,,,,,,0.0,,0.0,MIN,15.0,Taunting,Field goal,0.0
6,MIN,GB,38.0,3415.0,1.0,2.0,0,GB 38,19.0,46.0,(11:55) (Shotgun) 36-Z.Scott left end to GB 36 for 2 yards (28-T.Diggs).,run,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,left,end,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Z.Scott,2.0,,,,,,,0.0,,0.0,,,,Field goal,0.0
7,MIN,GB,36.0,3370.0,1.0,3.0,0,GB 36,17.0,46.0,(11:10) (Shotgun) 9-J.McCarthy pass short middle to 18-J.Jefferson to GB 25 for 11 yards (27-K.Oladapo).,pass,11.0,1.0,0.0,1.0,0.0,0.0,0.0,short,middle,0.0,11.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,J.McCarthy,11.0,J.Jefferson,11.0,,,,,,,,,0.0,,0.0,,,,Field goal,0.0
8,MIN,GB,25.0,3332.0,1.0,4.0,0,GB 25,6.0,46.0,"(10:32) 16-W.Reichard 43 yard field goal is GOOD, Center-42-A.DePaola, Holder-17-R.Wright.",field_goal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,made,43.0,,,0.0,,,,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,W.Reichard,0.0,,0.0,,,,Field goal,0.0
9,GB,MIN,35.0,3327.0,2.0,,0,MIN 35,0.0,1.0,"16-W.Reichard kicks 65 yards from MIN 35 to end zone, Touchback to the GB 35.",kickoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,65.0,,,0.0,,,,3.0,0.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,W.Reichard,0.0,GB,0.0,,,,Punt,1.0
