,home_team,away_team,season_type,season,week,game_date,start_time,game_id,stadium,roof,surface,condition,temperature,humidity,wind
0,NO,ARI,REG,2025,1,2025-09-07,"9/7/25, 13:02:38",2025_01_ARI_NO,Mercedes-Benz Superdome,dome,sportturf,Sunny ,83,72,NE 9
1,BUF,BAL,REG,2025,1,2025-09-07,"9/7/25, 20:22:52",2025_01_BAL_BUF,New Era Field,outdoors,a_turf,Partly cloudy ,58,61,SW 8
2,JAX,CAR,REG,2025,1,2025-09-07,"9/7/25, 13:02:32",2025_01_CAR_JAX,TIAA Bank Stadium,outdoors,grass,,85,71,SW 3
3,CLE,CIN,REG,2025,1,2025-09-07,"9/7/25, 13:02:27",2025_01_CIN_CLE,FirstEnergy Stadium,outdoors,grass,Sunny ,63,49,NW 10
4,PHI,DAL,REG,2025,1,2025-09-04,"9/4/25, 20:23:01",2025_01_DAL_PHI,Lincoln Financial Field,outdoors,grass,Rain ,75,66,S 11
5,GB,DET,REG,2025,1,2025-09-07,"9/7/25, 16:25:38",2025_01_DET_GB,Lambeau Field,outdoors,grass,Cloudy ,60,76,NW 5
6,LA,HOU,REG,2025,1,2025-09-07,"9/7/25, 16:25:32",2025_01_HOU_LA,SoFi Stadium,dome,matrixturf,Sunny ,83,51,SW 9
7,LAC,KC,REG,2025,1,2025-09-05,"9/5/25, 20:11:05",2025_01_KC_LAC,SoFi Stadium,dome,,,62,80,SE 7
8,NE,LV,REG,2025,1,2025-09-07,"9/7/25, 13:02:54",2025_01_LV_NE,Gillette Stadium,outdoors,fieldturf,Rain ,64,86,NE 4
9,IND,MIA,REG,2025,1,2025-09-07,"9/7/25, 13:03:32",2025_01_MIA_IND,Lucas Oil Stadium,closed,fieldturf,Sunny ,64,38,NW 3
10,CHI,MIN,REG,2025,1,2025-09-08,"9/8/25, 20:16:02",2025_01_MIN_CHI,Soldier Field,outdoors,grass,Clear ,68,38,SE 6
11,WAS,NYG,REG,2025,1,2025-09-07,"9/7/25, 13:03:46",2025_01_NYG_WAS,FedExField,outdoors,grass,,68,68,NW 5
12,NYJ,PIT,REG,2025,1,2025-09-07,"9/7/25, 13:02:43",2025_01_PIT_NYJ,MetLife Stadium,outdoors,fieldturf,Cloudy with more rain possible ,67,79,W 3
13,SEA,SF,REG,2025,1,2025-09-07,"9/7/25, 16:05:39",2025_01_SF_SEA,Lumen Field,outdoors,fieldturf,Cloudy ,67,83,S 6
14,ATL,TB,REG,2025,1,2025-09-07,"9/7/25, 13:02:59",2025_01_TB_ATL,Mercedes-Benz Stadium,closed,fieldturf,None ,None,None,NE None
15,DEN,TEN,REG,2025,1,2025-09-07,"9/7/25, 16:05:14",2025_01_TEN_DEN,Empower Field at Mile High,outdoors,grass,Mostly Sunny ,84,24,NE 6
16,MIN,ATL,REG,2025,2,2025-09-14,"9/14/25, 20:23:18",2025_02_ATL_MIN,U.S. Bank Stadium,dome,sportturf,N/A Indoors ,82,69,SE 8
17,NYJ,BUF,REG,2025,2,2025-09-14,"9/14/25, 13:03:24",2025_02_BUF_NYJ,MetLife Stadium,outdoors,fieldturf,Beautiful. 80 and Sunny ,80,49,NE 3
